        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -5.627E-09    -8.445E-09    -2.667E-09     1.049E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -6.058E-09    -9.171E-09     4.502E-12     1.099E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -5.588E-09    -8.507E-09     2.734E-09     1.054E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -1.054E-08    -1.179E-08    -4.666E-09     1.648E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.197E-08    -1.315E-08     1.964E-10     1.778E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.057E-08    -1.180E-08     4.710E-09     1.653E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -1.979E-08    -1.469E-08    -8.170E-09     2.596E-08 
   -2.500E-01     2.500E-01     0.000E+00    -2.287E-08    -1.694E-08     1.854E-11     2.846E-08 
   -2.500E-01     2.500E-01     2.500E-01    -2.019E-08    -1.477E-08     8.034E-09     2.627E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -4.025E-09    -1.204E-08    -3.584E-09     1.319E-08 
    0.000E+00    -2.500E-01     0.000E+00    -4.493E-09    -1.332E-08    -8.938E-11     1.406E-08 
    0.000E+00    -2.500E-01     2.500E-01    -4.012E-09    -1.206E-08     3.650E-09     1.323E-08 
    0.000E+00     0.000E+00    -2.500E-01    -9.583E-09    -1.976E-08    -6.986E-09     2.304E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.051E-08    -2.168E-08     1.142E-11     2.410E-08 
    0.000E+00     0.000E+00     2.500E-01    -9.544E-09    -1.922E-08     7.040E-09     2.259E-08 
    0.000E+00     2.500E-01    -2.500E-01    -2.198E-08    -3.087E-08    -1.509E-08     4.079E-08 
    0.000E+00     2.500E-01     0.000E+00    -2.611E-08    -3.685E-08     2.067E-10     4.517E-08 
    0.000E+00     2.500E-01     2.500E-01    -2.226E-08    -3.084E-08     1.478E-08     4.080E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -4.982E-10    -1.444E-08    -4.157E-09     1.503E-08 
    2.500E-01    -2.500E-01     0.000E+00    -5.697E-10    -1.595E-08     1.779E-11     1.596E-08 
    2.500E-01    -2.500E-01     2.500E-01    -4.556E-10    -1.439E-08     4.169E-09     1.499E-08 
    2.500E-01     0.000E+00    -2.500E-01    -3.031E-09    -2.582E-08    -8.695E-09     2.741E-08 
    2.500E-01     0.000E+00     0.000E+00    -3.713E-09    -2.990E-08    -1.826E-10     3.013E-08 
    2.500E-01     0.000E+00     2.500E-01    -3.231E-09    -2.621E-08     8.840E-09     2.785E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.150E-08    -4.853E-08    -2.131E-08     5.424E-08 
    2.500E-01     2.500E-01     0.000E+00    -1.314E-08    -5.993E-08    -5.948E-11     6.135E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.115E-08    -4.906E-08     2.068E-08     5.439E-08 
