        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     1.327E-08    -8.649E-09     1.336E-08     2.072E-08 
   -2.500E-01    -2.500E-01     0.000E+00     2.100E-08    -1.580E-08     1.200E-08     2.889E-08 
   -2.500E-01    -2.500E-01     2.500E-01     2.748E-08    -2.231E-08     3.846E-09     3.561E-08 
   -2.500E-01     0.000E+00    -2.500E-01     8.139E-09    -8.690E-09     8.135E-09     1.442E-08 
   -2.500E-01     0.000E+00     0.000E+00     1.144E-08    -1.309E-08     6.312E-09     1.849E-08 
   -2.500E-01     0.000E+00     2.500E-01     1.382E-08    -1.654E-08     8.407E-10     2.157E-08 
   -2.500E-01     2.500E-01    -2.500E-01     4.654E-09    -7.075E-09     4.650E-09     9.661E-09 
   -2.500E-01     2.500E-01     0.000E+00     6.096E-09    -9.595E-09     3.057E-09     1.177E-08 
   -2.500E-01     2.500E-01     2.500E-01     6.938E-09    -1.114E-08    -5.509E-11     1.313E-08 
    0.000E+00    -2.500E-01    -2.500E-01     1.178E-08    -1.566E-08     2.114E-08     2.882E-08 
    0.000E+00    -2.500E-01     0.000E+00     2.117E-08    -3.107E-08     2.095E-08     4.304E-08 
    0.000E+00    -2.500E-01     2.500E-01     2.973E-08    -4.584E-08     8.257E-09     5.525E-08 
    0.000E+00     0.000E+00    -2.500E-01     6.060E-09    -1.321E-08     1.146E-08     1.851E-08 
    0.000E+00     0.000E+00     0.000E+00     9.311E-09    -2.067E-08     9.359E-09     2.453E-08 
    0.000E+00     0.000E+00     2.500E-01     1.202E-08    -2.751E-08     2.401E-09     3.012E-08 
    0.000E+00     2.500E-01    -2.500E-01     3.035E-09    -9.558E-09     6.101E-09     1.174E-08 
    0.000E+00     2.500E-01     0.000E+00     4.222E-09    -1.339E-08     4.268E-09     1.467E-08 
    0.000E+00     2.500E-01     2.500E-01     4.999E-09    -1.573E-08     2.551E-10     1.650E-08 
    2.500E-01    -2.500E-01    -2.500E-01     3.303E-09    -2.194E-08     2.730E-08     3.518E-08 
    2.500E-01    -2.500E-01     0.000E+00     8.656E-09    -4.580E-08     2.902E-08     5.490E-08 
    2.500E-01    -2.500E-01     2.500E-01     1.430E-08    -7.132E-08     1.307E-08     7.391E-08 
    2.500E-01     0.000E+00    -2.500E-01     9.449E-10    -1.641E-08     1.369E-08     2.139E-08 
    2.500E-01     0.000E+00     0.000E+00     2.117E-09    -2.651E-08     1.211E-08     2.922E-08 
    2.500E-01     0.000E+00     2.500E-01     3.602E-09    -3.510E-08     3.225E-09     3.543E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.514E-10    -1.101E-08     6.923E-09     1.301E-08 
    2.500E-01     2.500E-01     0.000E+00     5.131E-11    -1.560E-08     4.911E-09     1.636E-08 
    2.500E-01     2.500E-01     2.500E-01     4.674E-10    -1.886E-08     4.980E-10     1.887E-08 
