        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -6.253E-08     2.513E-08    -1.642E-08     6.936E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -3.874E-08     1.725E-08    -2.927E-08     5.152E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.788E-08     9.490E-09    -2.516E-08     3.229E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -7.604E-08     4.407E-10    -1.971E-08     7.856E-08 
   -2.500E-01     0.000E+00     0.000E+00    -4.499E-08    -1.121E-10    -3.351E-08     5.610E-08 
   -2.500E-01     0.000E+00     2.500E-01    -2.079E-08    -1.276E-10    -2.898E-08     3.567E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -6.347E-08    -2.507E-08    -1.630E-08     7.016E-08 
   -2.500E-01     2.500E-01     0.000E+00    -3.801E-08    -1.739E-08    -2.930E-08     5.105E-08 
   -2.500E-01     2.500E-01     2.500E-01    -1.778E-08    -9.914E-09    -2.552E-08     3.264E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -3.346E-08     1.113E-08    -4.572E-09     3.556E-08 
    0.000E+00    -2.500E-01     0.000E+00    -2.470E-08     8.585E-09    -1.219E-08     2.885E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.473E-08     5.964E-09    -1.360E-08     2.092E-08 
    0.000E+00     0.000E+00    -2.500E-01    -3.806E-08    -7.865E-11    -5.069E-09     3.839E-08 
    0.000E+00     0.000E+00     0.000E+00    -2.769E-08    -7.757E-11    -1.376E-08     3.092E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.637E-08     3.555E-11    -1.488E-08     2.213E-08 
    0.000E+00     2.500E-01    -2.500E-01    -3.355E-08    -1.097E-08    -4.488E-09     3.558E-08 
    0.000E+00     2.500E-01     0.000E+00    -2.467E-08    -8.501E-09    -1.233E-08     2.886E-08 
    0.000E+00     2.500E-01     2.500E-01    -1.489E-08    -5.729E-09    -1.369E-08     2.102E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.891E-08     5.242E-09    -9.678E-10     1.965E-08 
    2.500E-01    -2.500E-01     0.000E+00    -1.522E-08     4.509E-09    -5.421E-09     1.677E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.066E-08     3.473E-09    -7.209E-09     1.333E-08 
    2.500E-01     0.000E+00    -2.500E-01    -2.075E-08    -7.428E-11    -1.024E-09     2.077E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.688E-08    -4.159E-11    -6.147E-09     1.796E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.169E-08    -1.092E-10    -7.900E-09     1.411E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.868E-08    -5.312E-09    -8.857E-10     1.944E-08 
    2.500E-01     2.500E-01     0.000E+00    -1.552E-08    -4.685E-09    -5.252E-09     1.704E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.061E-08    -3.398E-09    -7.226E-09     1.328E-08 
