        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -4.003E-09    -2.226E-08     2.736E-08     3.550E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -8.062E-09    -4.560E-08     2.919E-08     5.474E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.439E-08    -7.061E-08     1.276E-08     7.318E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -8.978E-10    -1.637E-08     1.380E-08     2.143E-08 
   -2.500E-01     0.000E+00     0.000E+00    -2.173E-09    -2.668E-08     1.196E-08     2.932E-08 
   -2.500E-01     0.000E+00     2.500E-01    -3.515E-09    -3.506E-08     3.425E-09     3.540E-08 
   -2.500E-01     2.500E-01    -2.500E-01     2.070E-11    -1.114E-08     6.970E-09     1.314E-08 
   -2.500E-01     2.500E-01     0.000E+00    -2.073E-10    -1.567E-08     5.065E-09     1.647E-08 
   -2.500E-01     2.500E-01     2.500E-01    -5.790E-10    -1.890E-08     6.341E-10     1.892E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -1.185E-08    -1.555E-08     2.113E-08     2.879E-08 
    0.000E+00    -2.500E-01     0.000E+00    -2.142E-08    -3.139E-08     2.116E-08     4.350E-08 
    0.000E+00    -2.500E-01     2.500E-01    -2.948E-08    -4.682E-08     8.929E-09     5.604E-08 
    0.000E+00     0.000E+00    -2.500E-01    -6.137E-09    -1.314E-08     1.138E-08     1.843E-08 
    0.000E+00     0.000E+00     0.000E+00    -9.481E-09    -2.092E-08     9.197E-09     2.474E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.219E-08    -2.701E-08     2.275E-09     2.972E-08 
    0.000E+00     2.500E-01    -2.500E-01    -2.953E-09    -9.624E-09     6.115E-09     1.178E-08 
    0.000E+00     2.500E-01     0.000E+00    -4.176E-09    -1.340E-08     4.304E-09     1.468E-08 
    0.000E+00     2.500E-01     2.500E-01    -4.927E-09    -1.576E-08     2.447E-10     1.651E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.313E-08    -8.372E-09     1.325E-08     2.044E-08 
    2.500E-01    -2.500E-01     0.000E+00    -2.126E-08    -1.597E-08     1.182E-08     2.909E-08 
    2.500E-01    -2.500E-01     2.500E-01    -2.793E-08    -2.284E-08     3.472E-09     3.625E-08 
    2.500E-01     0.000E+00    -2.500E-01    -8.069E-09    -8.707E-09     8.064E-09     1.435E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.135E-08    -1.304E-08     6.242E-09     1.838E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.385E-08    -1.647E-08     9.488E-10     2.154E-08 
    2.500E-01     2.500E-01    -2.500E-01    -4.693E-09    -7.024E-09     4.615E-09     9.626E-09 
    2.500E-01     2.500E-01     0.000E+00    -6.115E-09    -9.501E-09     2.955E-09     1.168E-08 
    2.500E-01     2.500E-01     2.500E-01    -6.908E-09    -1.108E-08    -9.125E-11     1.306E-08 
