        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -7.249E-09    -3.422E-09    -1.074E-08     1.340E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -1.375E-08    -5.924E-09    -1.474E-08     2.101E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -2.556E-08    -9.688E-09    -1.817E-08     3.282E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -7.754E-09    -5.238E-12    -1.159E-08     1.394E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.526E-08     8.757E-11    -1.658E-08     2.253E-08 
   -2.500E-01     0.000E+00     2.500E-01    -2.891E-08    -4.218E-11    -2.071E-08     3.556E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -7.266E-09     3.341E-09    -1.072E-08     1.338E-08 
   -2.500E-01     2.500E-01     0.000E+00    -1.366E-08     5.803E-09    -1.466E-08     2.086E-08 
   -2.500E-01     2.500E-01     2.500E-01    -2.534E-08     9.743E-09    -1.765E-08     3.238E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -5.411E-09    -4.522E-09    -1.544E-08     1.698E-08 
    0.000E+00    -2.500E-01     0.000E+00    -1.237E-08    -8.758E-09    -2.470E-08     2.898E-08 
    0.000E+00    -2.500E-01     2.500E-01    -2.820E-08    -1.724E-08    -3.875E-08     5.093E-08 
    0.000E+00     0.000E+00    -2.500E-01    -6.125E-09     6.078E-11    -1.692E-08     1.800E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.389E-08     9.221E-12    -2.801E-08     3.126E-08 
    0.000E+00     0.000E+00     2.500E-01    -3.271E-08    -6.484E-10    -4.545E-08     5.600E-08 
    0.000E+00     2.500E-01    -2.500E-01    -5.356E-09     4.528E-09    -1.535E-08     1.688E-08 
    0.000E+00     2.500E-01     0.000E+00    -1.231E-08     8.668E-09    -2.470E-08     2.892E-08 
    0.000E+00     2.500E-01     2.500E-01    -2.865E-08     1.691E-08    -3.898E-08     5.124E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -7.187E-10    -5.182E-09    -1.883E-08     1.954E-08 
    2.500E-01    -2.500E-01     0.000E+00    -4.652E-09    -1.093E-08    -3.338E-08     3.543E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.581E-08    -2.531E-08    -6.230E-08     6.908E-08 
    2.500E-01     0.000E+00    -2.500E-01    -1.063E-09    -1.379E-10    -2.057E-08     2.060E-08 
    2.500E-01     0.000E+00     0.000E+00    -4.770E-09     1.977E-10    -3.749E-08     3.779E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.918E-08    -8.184E-10    -7.476E-08     7.719E-08 
    2.500E-01     2.500E-01    -2.500E-01    -7.934E-10     5.152E-09    -1.865E-08     1.937E-08 
    2.500E-01     2.500E-01     0.000E+00    -4.594E-09     1.074E-08    -3.349E-08     3.547E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.627E-08     2.496E-08    -6.262E-08     6.934E-08 
