        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -3.791E-09    -2.627E-09    -2.584E-09     5.287E-09 
   -2.500E-01    -2.500E-01     0.000E+00    -5.140E-09    -3.503E-09    -1.772E-09     6.468E-09 
   -2.500E-01    -2.500E-01     2.500E-01    -6.044E-09    -4.027E-09    -1.191E-10     7.264E-09 
   -2.500E-01     0.000E+00    -2.500E-01    -5.134E-09    -1.795E-09    -3.472E-09     6.452E-09 
   -2.500E-01     0.000E+00     0.000E+00    -7.389E-09    -2.549E-09    -2.584E-09     8.232E-09 
   -2.500E-01     0.000E+00     2.500E-01    -8.721E-09    -3.138E-09    -3.419E-10     9.275E-09 
   -2.500E-01     2.500E-01    -2.500E-01    -6.064E-09    -1.665E-10    -4.022E-09     7.279E-09 
   -2.500E-01     2.500E-01     0.000E+00    -8.820E-09    -3.753E-10    -3.097E-09     9.356E-09 
   -2.500E-01     2.500E-01     2.500E-01    -1.072E-08    -6.932E-10    -6.932E-10     1.077E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -4.436E-09    -4.477E-09    -4.436E-09     7.707E-09 
    0.000E+00    -2.500E-01     0.000E+00    -6.761E-09    -6.460E-09    -3.626E-09     1.003E-08 
    0.000E+00    -2.500E-01     2.500E-01    -8.714E-09    -7.880E-09    -9.024E-10     1.178E-08 
    0.000E+00     0.000E+00    -2.500E-01    -6.903E-09    -3.578E-09    -6.470E-09     1.012E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.103E-08    -5.525E-09    -5.620E-09     1.356E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.467E-08    -7.356E-09    -1.818E-09     1.651E-08 
    0.000E+00     2.500E-01    -2.500E-01    -8.567E-09    -8.189E-10    -7.883E-09     1.167E-08 
    0.000E+00     2.500E-01     0.000E+00    -1.460E-08    -1.898E-09    -7.392E-09     1.648E-08 
    0.000E+00     2.500E-01     2.500E-01    -2.033E-08    -2.865E-09    -2.828E-09     2.072E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -3.956E-09    -7.184E-09    -7.180E-09     1.090E-08 
    2.500E-01    -2.500E-01     0.000E+00    -7.368E-09    -1.131E-08    -6.523E-09     1.499E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.095E-08    -1.526E-08    -2.789E-09     1.899E-08 
    2.500E-01     0.000E+00    -2.500E-01    -7.418E-09    -6.823E-09    -1.133E-08     1.516E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.516E-08    -1.218E-08    -1.185E-08     2.277E-08 
    2.500E-01     0.000E+00     2.500E-01    -2.388E-08    -1.733E-08    -6.185E-09     3.015E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.089E-08    -2.663E-09    -1.520E-08     1.888E-08 
    2.500E-01     2.500E-01     0.000E+00    -2.403E-08    -6.023E-09    -1.791E-08     3.057E-08 
    2.500E-01     2.500E-01     2.500E-01    -3.967E-08    -1.051E-08    -1.035E-08     4.233E-08 
