        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     2.000E-08    -1.449E-08     8.196E-09     2.602E-08 
   -2.500E-01    -2.500E-01     0.000E+00     2.264E-08    -1.711E-08     5.664E-11     2.838E-08 
   -2.500E-01    -2.500E-01     2.500E-01     2.008E-08    -1.465E-08    -8.292E-09     2.620E-08 
   -2.500E-01     0.000E+00    -2.500E-01     1.072E-08    -1.173E-08     4.832E-09     1.661E-08 
   -2.500E-01     0.000E+00     0.000E+00     1.165E-08    -1.311E-08     1.260E-10     1.754E-08 
   -2.500E-01     0.000E+00     2.500E-01     1.064E-08    -1.186E-08    -4.827E-09     1.665E-08 
   -2.500E-01     2.500E-01    -2.500E-01     5.572E-09    -8.392E-09     2.691E-09     1.043E-08 
   -2.500E-01     2.500E-01     0.000E+00     6.026E-09    -9.230E-09     3.958E-11     1.102E-08 
   -2.500E-01     2.500E-01     2.500E-01     5.586E-09    -8.508E-09    -2.697E-09     1.053E-08 
    0.000E+00    -2.500E-01    -2.500E-01     2.178E-08    -3.082E-08     1.436E-08     4.038E-08 
    0.000E+00    -2.500E-01     0.000E+00     2.607E-08    -3.686E-08    -3.449E-11     4.515E-08 
    0.000E+00    -2.500E-01     2.500E-01     2.252E-08    -3.104E-08    -1.465E-08     4.106E-08 
    0.000E+00     0.000E+00    -2.500E-01     9.213E-09    -1.937E-08     7.042E-09     2.258E-08 
    0.000E+00     0.000E+00     0.000E+00     1.035E-08    -2.179E-08    -7.531E-11     2.412E-08 
    0.000E+00     0.000E+00     2.500E-01     9.374E-09    -1.979E-08    -7.247E-09     2.306E-08 
    0.000E+00     2.500E-01    -2.500E-01     4.082E-09    -1.196E-08     3.603E-09     1.314E-08 
    0.000E+00     2.500E-01     0.000E+00     4.493E-09    -1.330E-08    -1.353E-11     1.404E-08 
    0.000E+00     2.500E-01     2.500E-01     4.050E-09    -1.203E-08    -3.577E-09     1.319E-08 
    2.500E-01    -2.500E-01    -2.500E-01     1.053E-08    -4.910E-08     2.067E-08     5.431E-08 
    2.500E-01    -2.500E-01     0.000E+00     1.379E-08    -5.995E-08     1.054E-10     6.152E-08 
    2.500E-01    -2.500E-01     2.500E-01     1.152E-08    -4.876E-08    -2.117E-08     5.439E-08 
    2.500E-01     0.000E+00    -2.500E-01     3.078E-09    -2.606E-08     8.762E-09     2.766E-08 
    2.500E-01     0.000E+00     0.000E+00     3.503E-09    -2.961E-08     1.297E-10     2.981E-08 
    2.500E-01     0.000E+00     2.500E-01     3.151E-09    -2.564E-08    -8.928E-09     2.734E-08 
    2.500E-01     2.500E-01    -2.500E-01     5.336E-10    -1.450E-08     4.116E-09     1.509E-08 
    2.500E-01     2.500E-01     0.000E+00     5.211E-10    -1.596E-08     2.446E-11     1.597E-08 
    2.500E-01     2.500E-01     2.500E-01     5.398E-10    -1.452E-08    -4.124E-09     1.511E-08 
