        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.078E-08    -7.179E-09    -3.325E-09     1.337E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -1.159E-08    -7.786E-09     5.493E-12     1.396E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.070E-08    -7.221E-09     3.418E-09     1.335E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -1.536E-08    -5.424E-09    -4.527E-09     1.691E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.686E-08    -5.895E-09     3.301E-11     1.787E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.523E-08    -5.436E-09     4.530E-09     1.680E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -1.867E-08    -1.057E-09    -5.198E-09     1.941E-08 
   -2.500E-01     2.500E-01     0.000E+00    -2.058E-08    -1.082E-09     2.146E-13     2.061E-08 
   -2.500E-01     2.500E-01     2.500E-01    -1.865E-08    -1.013E-09     5.087E-09     1.936E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -1.473E-08    -1.376E-08    -5.738E-09     2.096E-08 
    0.000E+00    -2.500E-01     0.000E+00    -1.638E-08    -1.504E-08    -1.217E-10     2.224E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.480E-08    -1.365E-08     5.770E-09     2.094E-08 
    0.000E+00     0.000E+00    -2.500E-01    -2.455E-08    -1.231E-08    -8.584E-09     2.878E-08 
    0.000E+00     0.000E+00     0.000E+00    -2.758E-08    -1.351E-08     2.284E-10     3.072E-08 
    0.000E+00     0.000E+00     2.500E-01    -2.459E-08    -1.233E-08     8.621E-09     2.882E-08 
    0.000E+00     2.500E-01    -2.500E-01    -3.321E-08    -4.426E-09    -1.080E-08     3.520E-08 
    0.000E+00     2.500E-01     0.000E+00    -3.759E-08    -5.363E-09     1.332E-11     3.797E-08 
    0.000E+00     2.500E-01     2.500E-01    -3.373E-08    -4.269E-09     1.119E-08     3.579E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.775E-08    -2.596E-08    -9.956E-09     3.299E-08 
    2.500E-01    -2.500E-01     0.000E+00    -2.006E-08    -2.868E-08    -9.957E-11     3.500E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.801E-08    -2.575E-08     9.937E-09     3.296E-08 
    2.500E-01     0.000E+00    -2.500E-01    -3.785E-08    -2.935E-08    -1.734E-08     5.094E-08 
    2.500E-01     0.000E+00     0.000E+00    -4.500E-08    -3.392E-08     2.420E-10     5.635E-08 
    2.500E-01     0.000E+00     2.500E-01    -3.774E-08    -2.816E-08     1.706E-08     5.008E-08 
    2.500E-01     2.500E-01    -2.500E-01    -6.250E-08    -1.650E-08    -2.523E-08     6.939E-08 
    2.500E-01     2.500E-01     0.000E+00    -7.555E-08    -1.866E-08    -5.434E-11     7.782E-08 
    2.500E-01     2.500E-01     2.500E-01    -6.309E-08    -1.626E-08     2.419E-08     6.950E-08 
