        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.789E-08     2.570E-08     9.655E-09     3.276E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -2.082E-08     2.907E-08     6.463E-11     3.576E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.812E-08     2.519E-08    -9.795E-09     3.254E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -3.756E-08     2.910E-08     1.788E-08     5.077E-08 
   -2.500E-01     0.000E+00     0.000E+00    -4.604E-08     3.363E-08     6.702E-10     5.702E-08 
   -2.500E-01     0.000E+00     2.500E-01    -3.861E-08     2.847E-08    -1.768E-08     5.113E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -6.289E-08     1.646E-08     2.463E-08     6.952E-08 
   -2.500E-01     2.500E-01     0.000E+00    -7.653E-08     1.955E-08    -5.054E-10     7.899E-08 
   -2.500E-01     2.500E-01     2.500E-01    -6.278E-08     1.614E-08    -2.509E-08     6.950E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -1.464E-08     1.370E-08     5.806E-09     2.087E-08 
    0.000E+00    -2.500E-01     0.000E+00    -1.640E-08     1.488E-08     6.269E-11     2.214E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.439E-08     1.355E-08    -5.777E-09     2.059E-08 
    0.000E+00     0.000E+00    -2.500E-01    -2.490E-08     1.219E-08     8.498E-09     2.900E-08 
    0.000E+00     0.000E+00     0.000E+00    -2.765E-08     1.406E-08    -1.357E-10     3.102E-08 
    0.000E+00     0.000E+00     2.500E-01    -2.463E-08     1.231E-08    -8.494E-09     2.881E-08 
    0.000E+00     2.500E-01    -2.500E-01    -3.333E-08     4.758E-09     1.070E-08     3.533E-08 
    0.000E+00     2.500E-01     0.000E+00    -3.785E-08     5.428E-09    -2.364E-10     3.823E-08 
    0.000E+00     2.500E-01     2.500E-01    -3.329E-08     4.547E-09    -1.082E-08     3.530E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.065E-08     7.120E-09     3.363E-09     1.325E-08 
    2.500E-01    -2.500E-01     0.000E+00    -1.149E-08     7.802E-09    -1.793E-11     1.389E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.061E-08     7.201E-09    -3.417E-09     1.327E-08 
    2.500E-01     0.000E+00    -2.500E-01    -1.531E-08     5.344E-09     4.517E-09     1.684E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.685E-08     5.975E-09    -2.634E-11     1.788E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.547E-08     5.331E-09    -4.516E-09     1.697E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.865E-08     9.059E-10     5.286E-09     1.941E-08 
    2.500E-01     2.500E-01     0.000E+00    -2.057E-08     9.965E-10     2.368E-10     2.059E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.852E-08     8.960E-10    -5.286E-09     1.929E-08 
