        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -4.065E-09     7.175E-09     7.056E-09     1.085E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -7.634E-09     1.153E-08     6.729E-09     1.538E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.117E-08     1.522E-08     2.646E-09     1.906E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -7.435E-09     6.752E-09     1.142E-08     1.521E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.577E-08     1.212E-08     1.236E-08     2.341E-08 
   -2.500E-01     0.000E+00     2.500E-01    -2.417E-08     1.749E-08     6.146E-09     3.046E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -1.098E-08     2.597E-09     1.533E-08     1.903E-08 
   -2.500E-01     2.500E-01     0.000E+00    -2.427E-08     6.249E-09     1.801E-08     3.086E-08 
   -2.500E-01     2.500E-01     2.500E-01    -3.993E-08     1.064E-08     1.039E-08     4.261E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -4.406E-09     4.426E-09     4.432E-09     7.658E-09 
    0.000E+00    -2.500E-01     0.000E+00    -6.751E-09     6.383E-09     3.519E-09     9.934E-09 
    0.000E+00    -2.500E-01     2.500E-01    -8.456E-09     7.810E-09     8.346E-10     1.154E-08 
    0.000E+00     0.000E+00    -2.500E-01    -6.911E-09     3.521E-09     6.413E-09     1.006E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.101E-08     5.729E-09     5.548E-09     1.359E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.466E-08     7.358E-09     1.913E-09     1.652E-08 
    0.000E+00     2.500E-01    -2.500E-01    -8.614E-09     9.040E-10     7.870E-09     1.170E-08 
    0.000E+00     2.500E-01     0.000E+00    -1.472E-08     1.911E-09     7.269E-09     1.653E-08 
    0.000E+00     2.500E-01     2.500E-01    -2.008E-08     2.815E-09     2.844E-09     2.047E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -3.719E-09     2.564E-09     2.595E-09     5.210E-09 
    2.500E-01    -2.500E-01     0.000E+00    -5.111E-09     3.519E-09     1.787E-09     6.457E-09 
    2.500E-01    -2.500E-01     2.500E-01    -6.008E-09     4.060E-09     7.564E-11     7.251E-09 
    2.500E-01     0.000E+00    -2.500E-01    -5.119E-09     1.781E-09     3.493E-09     6.448E-09 
    2.500E-01     0.000E+00     0.000E+00    -7.309E-09     2.583E-09     2.630E-09     8.186E-09 
    2.500E-01     0.000E+00     2.500E-01    -8.882E-09     3.084E-09     4.485E-10     9.412E-09 
    2.500E-01     2.500E-01    -2.500E-01    -6.007E-09     1.055E-10     4.047E-09     7.244E-09 
    2.500E-01     2.500E-01     0.000E+00    -8.731E-09     3.957E-10     3.168E-09     9.296E-09 
    2.500E-01     2.500E-01     2.500E-01    -1.077E-08     6.746E-10     6.250E-10     1.081E-08 
