# G10
# Additional notes:
#	naxes: 3
#	device: Bartington Mag13-MSL100
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1000x
#	LPF: 1 kHz
#	HPF: 0 Hz
#	input_mode: balanced
#	output_mode: conditioned
#	mapping: {x:z, y:-y, z:x}
#	cyclotron: OFF
#	degaussed: False
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),position,state,col,row
1743708831.266915,-1.707268360986982,-0.4694303403770937,-1.13450956221468,0.0234345684337932,0.0143900337259189,0.0143499664089711,-100,1,0,0
1743708834.951155,-1.7252289596452648,-0.481516714826721,-0.863141166162768,0.0237261416390948,0.0147522308675432,0.0151713509885637,-100,-1,0,0
1743708889.8976238,-1.8045323344154167,-0.4367470831780156,-1.2591425748563596,0.0237292661010479,0.0148613690090158,0.0144525269922391,-90,1,0,0
1743708893.5905497,-1.80286286494671,-0.4285235521827781,-0.9437224397349746,0.0229898387090362,0.0140357938834611,0.0139386311704294,-90,-1,0,0
1743708931.3924692,-1.7980220325323353,-0.4162109950760714,-1.2624717850873275,0.0239700898003715,0.0145189115091108,0.0145509164071079,-80,1,0,0
1743708935.076121,-1.7949086511142378,-0.4097489069430048,-0.913852927609696,0.0239412185512122,0.0151636248683641,0.0147612777627443,-80,-1,0,0
1743709012.902449,-1.7796584544432152,-0.3953680815455482,-1.275156572661126,0.0241394083159648,0.0145892042786619,0.0144981809223751,-70,1,0,0
1743709016.5944378,-1.790546908653414,-0.3975267603853535,-0.8831707363917849,0.0231027267921396,0.0144534310980688,0.0145616053374426,-70,-1,0,0
1743709039.7103622,-1.789865195922248,-0.4036882353963665,-1.3124245120759588,0.0238927457382607,0.0148064886249596,0.0148404578950898,-60,1,0,0
1743709043.3948245,-1.7966727117407937,-0.4009665809293619,-0.8475595683348365,0.0239698949175531,0.0149104147789567,0.0146563609336087,-60,-1,0,0
1743709068.1369402,-1.7927101978842257,-0.3933794011063219,-1.3193578368694217,0.0242072766582145,0.015021603320513,0.0146925231578483,-50,1,0,0
1743709071.813023,-1.8083239121647603,-0.3958238851174064,-0.7705825265384556,0.024365309272823,0.0147228638113735,0.0145904810098114,-50,-1,0,0
1743709097.83844,-1.7846338086900868,-0.3876994775288039,-1.3919702449428224,0.0240335437497724,0.0146718523480628,0.0145440133702575,-40,1,0,0
1743709101.526538,-1.7928394060457322,-0.3778694206234286,-0.7118423552207424,0.0242613322495494,0.0153681989546452,0.0153345470177499,-40,-1,0,0
1743709120.7193532,-1.7700883376341516,-0.4005072218864734,-1.4811200864846432,0.0237054860719295,0.0143501635285687,0.0144801511264158,-30,1,0,0
1743709124.4075902,-1.787060671630461,-0.3932479658915326,-0.6537923359940032,0.0232503440563835,0.0142207291584583,0.0142745336633809,-30,-1,0,0
1743709146.9168754,-1.773053952113387,-0.4129820803850452,-1.6097504253420991,0.0238766236674539,0.0144696195942011,0.0141277210604516,-20,1,0,0
1743709150.601322,-1.7869442787931076,-0.4024385068647825,-0.570805141596502,0.0234140078997887,0.0143297868863562,0.0143499127376819,-20,-1,0,0
1743709171.9329195,-1.7083143727498646,-0.4134423380634689,-1.7385808864261163,0.0236091547865472,0.0144744037253115,0.0143199418825646,-10,1,0,0
1743709175.6126678,-1.7392033282830743,-0.4029610438929012,-0.4351647422851056,0.0238081913359502,0.0144246980612072,0.0144125117836631,-10,-1,0,0
1743709199.828555,-1.6725918129576711,-0.4416860622212698,-1.935580432644565,0.0239543863074004,0.0147375725176898,0.014724560994513,0,1,0,0
1743709203.5312755,-1.7126363408204817,-0.4321472023003844,-0.2672503556542142,0.0241685909104266,0.0146446452648691,0.0149173967639715,0,-1,0,0
1743709229.165234,-1.624439795296985,-0.4476928937780212,-2.131713772349376,0.0237956447423744,0.0143694676931177,0.0144435769297928,10,1,0,0
1743709232.846488,-1.671801287184535,-0.4376724433525305,0.042814575886714,0.0239170833965024,0.0151442784184198,0.0144274900693212,10,-1,0,0
1743709254.5716891,-1.6587861533738033,-0.4480052673042519,-2.437234147704749,0.023270572336985,0.0143702335852896,0.0144846270487101,20,1,0,0
1743709258.267907,-1.6978973505556132,-0.4187099442148064,0.4742814173961233,0.0235134554232302,0.0145105773250994,0.0144134857308988,20,-1,0,0
1743709285.173054,-1.735258122928335,-0.4389766760828752,-2.9832938205196844,0.0234589361044625,0.0142362448235595,0.0143070336386417,30,1,0,0
1743709288.852051,-1.7769570778824164,-0.3986764668747674,0.9757906865618132,0.0241849738059995,0.0146280409045093,0.0147947832005638,30,-1,0,0
1743709315.7559357,-1.7444012315737745,-0.4239677825885883,-3.843924730444196,0.0240353663310753,0.0149203880949969,0.0146382201920264,40,1,0,0
1743709319.4418454,-1.7825301419734751,-0.3619767386159037,1.7653931702924637,0.0236701888012741,0.0144651193137436,0.0144550476366169,40,-1,0,0
1743709338.2249982,-1.739865310103578,-0.445492486992498,-5.102590075211628,0.0241596505064549,0.0147320644187496,0.0147579866197101,50,1,0,0
1743709341.9133372,-1.7290819571798783,-0.3602671821881085,2.953974203173457,0.0239101956725812,0.0145091604250236,0.0144528849105648,50,-1,0,0
1743709368.6426752,-1.810793675184159,-0.4638055461361,-7.225263089675682,0.0238251376557049,0.0145638303383104,0.0145662446418623,60,1,0,0
1743709372.3309872,-1.612214405837185,-0.3325685781601351,5.040247555505157,0.0238738240669803,0.0148518674427518,0.0148424296667048,60,-1,0,0
1743709399.9270816,-1.893900270894501,-0.5140368110695089,-10.171738859066082,0.023384522995502,0.014673591108552,0.0001580765413309,70,1,0,0
1743709403.609786,-1.4534747363799034,-0.294409231365571,8.478180183467593,0.0233763200765419,0.0148667389358628,0.0144407733713543,70,-1,0,0
1743709433.0475817,-2.112672115142341,-0.6461532697365874,-10.166549004424088,0.0238136916790165,0.0145979601249192,0.0001428169074755,80,1,0,0
1743709436.7336135,-1.164643507613946,-0.2219433399555055,10.289147162548034,0.0238283282338443,0.01441963476823,0.0,80,-1,0,0
1743709463.5678434,-2.444280348935645,-0.8315068901309496,-10.166543417255324,0.0232579214854892,0.0144416327483598,0.0001459451894402,90,1,0,0
1743709467.2497194,-0.6946600140069858,-0.1117463211189169,10.289147162548034,0.0232859350025009,0.0146643450047685,0.0,90,-1,0,0
1743709494.5305436,-2.660000856688421,-1.3511808263636158,-10.166555802797266,0.0232565318255429,0.0144753282813991,0.0001409638392718,100,1,0,0
1743709498.2372165,-0.5292998230646845,-0.02900621242246416,10.289147162548034,0.023791193189386252,0.014808446529598614,0.0,100,-1,0,0
