# G10
# Additional notes:
#	naxes: 3
#	device: Bartington Mag13-MSL100
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1000x
#	LPF: 1 kHz
#	HPF: 0 Hz
#	input_mode: balanced
#	output_mode: conditioned
#	mapping: {x:z, y:-y, z:x}
#	cyclotron: OFF
#	degaussed: False
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),position,state,col,row
1743709976.394566,-1.6742152175874252,-0.5175922430286665,-1.27363279936244,0.0239223331371271,0.0146318036339283,0.0147602608032824,-100,1,0,0
1743709980.1471896,-1.6620565225127757,-0.6097552485908636,-0.8233113731217417,0.0234493749491615,0.0143725468788581,0.0144260247058667,-100,-1,0,0
1743710130.8766334,-1.8089822994431235,-0.3727861128990116,-1.3599912054343986,0.0237393735090126,0.0145985455353427,0.0145297576770754,-90,1,0,0
1743710134.565626,-1.811104720292642,-0.5502104859003338,-0.9043728697096958,0.0239784286646509,0.0146117240573202,0.0145002924093743,-90,-1,0,0
1743710204.543852,-1.8105134571816413,-0.3055753248850124,-1.3474610613148617,0.0232079643565526,0.014321565915454,0.0143774029237004,-80,1,0,0
1743710208.2320611,-1.8145456174627987,-0.5691802001697458,-0.8816822616705677,0.0237476449619059,0.0145250436168355,0.0145426052650743,-80,-1,0,0
1743710267.4837875,-1.801766803091632,-0.2309021892451346,-1.337871643377348,0.0235233292666319,0.014476350751056,0.0143364490129378,-70,1,0,0
1743710270.2121766,-1.812509795558472,-0.59115947089369,-0.8708584137117396,0.0239563317487187,0.0148158925213227,0.0149798896975977,-70,-1,0,0
1743710289.8787556,-1.7885461943122392,-0.1610201875674283,-1.3040815406967703,0.0234540119371432,0.0147797089582517,0.0146221044956878,-60,1,0,0
1743710292.5657976,-1.7994246072471105,-0.6270103402118548,-0.8499031316682157,0.0239269162795371,0.0148029057516089,0.0148010808483281,-60,-1,0,0
1743710314.3722904,-1.7828051244472227,-0.0881601077263258,-1.2552188586122428,0.0240791860261514,0.0146375113621031,0.0146292672095025,-50,1,0,0
1743710317.0607443,-1.8004452227883485,-0.6791662089637248,-0.8202612478310948,0.0238130032778693,0.0145621348238979,0.0144897344884358,-50,-1,0,0
1743710338.0357206,-1.7739445780709138,-0.0271116933588746,-1.243048871986739,0.0235407590172882,0.0145002471642546,0.0144750220531516,-40,1,0,0
1743710340.8073285,-1.7924134918731942,-0.7310708504768627,-0.8552219991161656,0.0237300466164423,0.0152812280396563,0.0146379424440332,-40,-1,0,0
1743710358.061318,-1.7563719164660323,0.0215611031299704,-1.2103280674507368,0.0237910455666541,0.0147457164789003,0.0146363204295124,-30,1,0,0
1743710360.7348409,-1.76137110409014,-0.7818781798593955,-0.8893202556430697,0.0236385745703105,0.0147519730733383,0.0143432874110569,-30,-1,0,0
1743710377.9049425,-1.7369890903245322,0.0556285325509088,-1.1718661539786082,0.024087210290975,0.0144718020370332,0.014833619551642,-20,1,0,0
1743710380.577804,-1.7187286599664002,-0.834952844839263,-0.9441409303965702,0.0238271122619478,0.0150470014408761,0.0145970280662634,-20,-1,0,0
1743710404.1344144,-1.6989991167927838,0.0923007938192859,-1.1206218532993444,0.0245390579250381,0.0152126442514382,0.0150316231560844,-10,1,0,0
1743710406.8169954,-1.7001464790155842,-0.8492501752741737,-0.997988226581092,0.0244931457295397,0.0151664214861104,0.0146663988088836,-10,-1,0,0
1743710424.4059618,-1.6383757179623353,0.0974423174979347,-1.0457977859606762,0.0238142261759843,0.0146915338237184,0.0146080030600211,0,1,0,0
1743710427.0971048,-1.6554876921065806,-0.8747196161795,-1.0546228557689028,0.0239100419052812,0.0152775890977091,0.0143766839024733,0,-1,0,0
1743710448.0757213,-1.5950245629702655,0.0791664931223749,-0.9299075202979838,0.0243125259232293,0.0147911824264244,0.0148584010271475,10,1,0,0
1743710450.7719831,-1.6033027935198152,-0.8627333809853736,-1.0466964214957988,0.0234394725239197,0.014752859354694,0.0143782416840049,10,-1,0,0
1743710469.9868252,-1.6332497836566653,0.0575538005782436,-0.8061941243776164,0.0238771537233067,0.0149979289209775,0.0150332682434441,20,1,0,0
1743710472.7062004,-1.6254193471013787,-0.8238957597173431,-1.033825264726238,0.0233060003107333,0.0146211277487489,0.0144493114367153,20,-1,0,0
1743710490.7321937,-1.6972089957357093,0.0483788880490828,-0.7644672335797259,0.0244949603334608,0.0158408601831437,0.0153556948861675,30,1,0,0
1743710493.4442818,-1.717303463078806,-0.7530047075470248,-1.0936031256603564,0.0230204965209225,0.0143400079507915,0.0144373192035535,30,-1,0,0
1743710509.7269197,-1.7122042924836387,0.0029790003213747,-0.7733897076657377,0.0242368206187572,0.0154468525582005,0.0154218916258999,40,1,0,0
1743710512.406525,-1.7189089731400782,-0.6904207204056001,-1.164900712732542,0.0238695135033481,0.0146357648258463,0.0148111982147788,40,-1,0,0
1743710535.1392803,-1.687654194801853,-0.0567037224593514,-0.7680918214039775,0.0233954390134833,0.0142273818744965,0.0142694845911755,50,1,0,0
1743710537.830693,-1.6889576851811037,-0.633593939497714,-1.2037777176796771,0.0238597193797604,0.0147102599958446,0.0145440598166938,50,-1,0,0
1743710561.853934,-1.6685798741466715,-0.1265472000223781,-0.7774776007150104,0.0237442599696245,0.0142332399546138,0.0142830350891125,60,1,0,0
1743710564.5371797,-1.667309203500008,-0.5909647795514502,-1.2351980793830262,0.0243423962494706,0.0151953963146077,0.0151286660382577,60,-1,0,0
1743710587.458831,-1.6509937720798735,-0.2060502281657682,-0.7923856907449226,0.0237662342571407,0.0144857749033001,0.0143319917364551,70,1,0,0
1743710590.1513565,-1.6538716328455485,-0.5648333958967305,-1.2592960071062045,0.0236096583573231,0.01432250539297,0.0143803241616299,70,-1,0,0
1743710613.8536532,-1.6144486872752717,-0.2810156547812221,-0.8041440241531199,0.0237462093103238,0.0146332844391655,0.014792602909198,80,1,0,0
1743710616.543749,-1.6073025030733152,-0.5364908609011764,-1.2634131253459235,0.024112906462839,0.0145909972400715,0.0147527742782326,80,-1,0,0
1743710642.4831276,-1.5671878034965447,-0.3730450762175678,-0.8113479554559854,0.0234856068709594,0.0145600861586187,0.0147902161764485,90,1,0,0
1743710645.172736,-1.5639477926102154,-0.5444623441643671,-1.2662291756152262,0.0237868002270787,0.01452118436332,0.0146008547195192,90,-1,0,0
1743710672.0844247,-1.4786768136779755,-0.5298013398355033,-0.8002995831916451,0.0234470863508127,0.0144569810988691,0.0142474925762308,100,1,0,0
1743710674.777992,-1.4676186736360797,-0.6077361317567739,-1.2396581638282804,0.02331377363422184,0.014648265960397021,0.014510622563260717,100,-1,0,0
