% Model:              coilcube-g10-freespacecurrents.mph
% Version:            COMSOL 5.1.0.234
% Date:               Mar 31 2025, 09:54
% Dimension:          3
% Nodes:              221
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T)                mf.By (T)                mf.Bz (T)
-1.1                      0                        0                        1.2689806252616812E-8    6.874178478600021E-11    -3.3372546323864607E-10
-1.09                     0                        0                        1.2699224624919212E-8    3.712291987444779E-11    -2.1388608754757298E-10
-1.08                     0                        0                        1.2552582056681348E-8    -9.31620654963499E-12    3.876598941775872E-11
-1.07                     0                        0                        1.2507724341492718E-8    -3.096853738548925E-11   1.0745816373875714E-10
-1.06                     0                        0                        1.2462866626304116E-8    -5.262086822133578E-11   1.7615033805976218E-10
-1.05                     0                        0                        1.24180089111155E-8      -7.427319905718386E-11   2.448425123807664E-10
-1.04                     0                        0                        1.2373151195926888E-8    -9.592552989304373E-11   3.135346867017679E-10
-1.03                     0                        0                        1.2287721360898666E-8    -1.948830184555927E-10   3.1047488984448377E-10
-1.02                     0                        0                        1.2163979250086758E-8    -2.3602241851011703E-10  6.22962974576641E-11
-1.01                     0                        0                        1.2040237139274906E-8    -2.77161818564641E-10    -1.8588229492915676E-10
-1                        0                        0                        1.1916495028463013E-8    -3.1830121861916335E-10  -4.340608873159932E-10
-0.9900000000000001       0                        0                        1.2255035411162044E-8    1.0556571313867541E-10   -1.7459455545718318E-10
-0.9800000000000001       0                        0                        1.2403396513147014E-8    5.519370885041358E-10    -9.809698104305954E-11
-0.9700000000000001       0                        0                        1.2476979035170998E-8    -1.4421783168796853E-10  3.0042757955151957E-11
-0.9600000000000001       0                        0                        1.2649062856376987E-8    -2.1974038758837084E-10  1.990390765116621E-12
-0.9500000000000001       0                        0                        1.2574149198939877E-8    -1.0677205369364543E-10  8.588502904494966E-11
-0.9400000000000001       0                        0                        1.2611257652251126E-8    -8.653879477639747E-11   6.407061630593674E-11
-0.93                     0                        0                        1.264836610556238E-8     -6.630553585914661E-11   4.2256203566923823E-11
-0.9200000000000002       0                        0                        1.2685474558873624E-8    -4.607227694190361E-11   2.044179082791959E-11
-0.9100000000000001       0                        0                        1.2722583012184887E-8    -2.583901802465647E-11   -1.3726219110912599E-12
-0.9000000000000001       0                        0                        1.2759691465496137E-8    -5.6057591074068515E-12  -2.3187034650104385E-11
-0.8900000000000001       0                        0                        1.2796799918807387E-8    1.4627499809833255E-11   -4.500144738911363E-11
-0.8800000000000001       0                        0                        1.283390837211864E-8     3.486075872707998E-11    -6.681586012812567E-11
-0.8700000000000001       0                        0                        1.2871016825429888E-8    5.50940176443267E-11     -8.863027286714024E-11
-0.8600000000000001       0                        0                        1.2908125278741133E-8    7.532727656157053E-11    -1.1044468560614758E-10
-0.8500000000000001       0                        0                        1.294523373205239E-8     9.556053547881395E-11    -1.322590983451634E-10
-0.8400000000000001       0                        0                        1.2982342185363638E-8    1.1579379439606315E-10   -1.540735110841701E-10
-0.8300000000000001       0                        0                        1.3019450638674888E-8    1.3602705331331277E-10   -1.7588792382318137E-10
-0.8200000000000001       0                        0                        1.3042644153826033E-8    -8.993658153775964E-11   -6.443234922148519E-12
-0.81                     0                        0                        1.3098626759300974E-8    -1.1044209325808854E-10  5.321045900675838E-11
-0.8                      0                        0                        1.3154609364775902E-8    -1.309476049784555E-10   1.1286415293570829E-10
-0.79                     0                        0                        1.3210591970250804E-8    -1.5145311669880672E-10  1.725178468646218E-10
-0.78                     0                        0                        1.3292927281113717E-8    -8.853596266244704E-11   -2.051497252053519E-10
-0.77                     0                        0                        1.3274575932524176E-8    -3.0892779771300257E-10  -1.6956585950040982E-10
-0.76                     0                        0                        1.3256224583934616E-8    -5.293196327635709E-10   -1.3398199379547601E-10
-0.75                     0                        0                        1.319439323805347E-8     1.354472905420644E-10    -1.8261978183321152E-11
-0.7400000000000001       0                        0                        1.3133402029729487E-8    -1.2164866662681987E-11  -4.784855887832178E-11
-0.7300000000000001       0                        0                        1.300722352019689E-8     -1.949259577264954E-11   -3.121775345526528E-11
-0.7200000000000001       0                        0                        1.2887591923298448E-8    -2.3265766376877406E-11  -1.8434762742145932E-11
-0.7100000000000001       0                        0                        1.27679603264E-8         -2.7038936981087076E-11  -5.6517720290150045E-12
-0.7000000000000001       0                        0                        1.2648328729501574E-8    -3.081210758532218E-11   7.1312186841076516E-12
-0.6900000000000001       0                        0                        1.252869713260313E-8     -3.4585278189515306E-11  1.9914209397233616E-11
-0.6800000000000002       0                        0                        1.2409065535704687E-8    -3.835844879373904E-11   3.269720011035958E-11
-0.6700000000000002       0                        0                        1.2289433938806232E-8    -4.2131619397962976E-11  4.548019082348389E-11
-0.6600000000000001       0                        0                        1.21698023419078E-8      -4.590479000218257E-11   5.826318153661482E-11
-0.6500000000000001       0                        0                        1.205017074500935E-8     -4.967796060640382E-11   7.104617224974244E-11
-0.6400000000000001       0                        0                        1.1930539148110909E-8    -5.3451131210624244E-11  8.382916296286013E-11
-0.6300000000000001       0                        0                        1.1810907551212463E-8    -5.7224301814847975E-11  9.661215367598775E-11
-0.6200000000000001       0                        0                        1.1884504534575775E-8    1.1536167774713508E-10   -1.1631365221733116E-10
-0.6100000000000001       0                        0                        1.1761590949004706E-8    1.6339330904606787E-10   -1.38450426756213E-10
-0.6000000000000001       0                        0                        1.1533215062459227E-8    6.81066901451268E-11     3.1983839113119148E-12
-0.5900000000000001       0                        0                        1.1385675853719133E-8    4.356333625794719E-11    6.805043476960824E-11
