        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.084E-08     6.382E-10     6.835E-10     1.088E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -8.750E-09     3.430E-10     3.121E-09     9.296E-09 
   -2.500E-01    -2.500E-01     2.500E-01    -6.033E-09     9.331E-11     4.062E-09     7.274E-09 
   -2.500E-01     0.000E+00    -2.500E-01    -8.847E-09     3.123E-09     2.970E-10     9.387E-09 
   -2.500E-01     0.000E+00     0.000E+00    -7.174E-09     2.500E-09     2.543E-09     8.011E-09 
   -2.500E-01     0.000E+00     2.500E-01    -5.126E-09     1.787E-09     3.496E-09     6.456E-09 
   -2.500E-01     2.500E-01    -2.500E-01    -6.081E-09     3.981E-09     1.426E-10     7.270E-09 
   -2.500E-01     2.500E-01     0.000E+00    -5.124E-09     3.494E-09     1.787E-09     6.454E-09 
   -2.500E-01     2.500E-01     2.500E-01    -3.755E-09     2.607E-09     2.599E-09     5.259E-09 
    0.000E+00    -2.500E-01    -2.500E-01    -2.015E-08     2.896E-09     3.132E-09     2.060E-08 
    0.000E+00    -2.500E-01     0.000E+00    -1.454E-08     1.931E-09     7.337E-09     1.640E-08 
    0.000E+00    -2.500E-01     2.500E-01    -8.761E-09     9.047E-10     7.853E-09     1.180E-08 
    0.000E+00     0.000E+00    -2.500E-01    -1.448E-08     7.322E-09     1.863E-09     1.634E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.095E-08     5.448E-09     5.657E-09     1.348E-08 
    0.000E+00     0.000E+00     2.500E-01    -6.785E-09     3.435E-09     6.477E-09     9.990E-09 
    0.000E+00     2.500E-01    -2.500E-01    -8.625E-09     7.834E-09     8.811E-10     1.168E-08 
    0.000E+00     2.500E-01     0.000E+00    -6.812E-09     6.365E-09     3.648E-09     1.001E-08 
    0.000E+00     2.500E-01     2.500E-01    -4.391E-09     4.448E-09     4.453E-09     7.674E-09 
    2.500E-01    -2.500E-01    -2.500E-01    -4.000E-08     1.067E-08     1.140E-08     4.295E-08 
    2.500E-01    -2.500E-01     0.000E+00    -2.467E-08     6.387E-09     1.758E-08     3.096E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.101E-08     2.870E-09     1.516E-08     1.896E-08 
    2.500E-01     0.000E+00    -2.500E-01    -2.435E-08     1.805E-08     6.039E-09     3.091E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.538E-08     1.227E-08     1.218E-08     2.314E-08 
    2.500E-01     0.000E+00     2.500E-01    -7.330E-09     6.545E-09     1.118E-08     1.488E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.114E-08     1.531E-08     2.895E-09     1.915E-08 
    2.500E-01     2.500E-01     0.000E+00    -7.490E-09     1.137E-08     6.485E-09     1.508E-08 
    2.500E-01     2.500E-01     2.500E-01    -4.003E-09     7.082E-09     7.054E-09     1.077E-08 
