        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -4.856E-09    -1.682E-08     2.939E-10     1.751E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -4.329E-09    -1.423E-08     4.454E-09     1.552E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -3.231E-09    -1.028E-08     6.482E-09     1.257E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -1.010E-08    -3.012E-08     2.652E-09     3.188E-08 
   -2.500E-01     0.000E+00     0.000E+00    -8.571E-09    -2.332E-08     1.066E-08     2.704E-08 
   -2.500E-01     0.000E+00     2.500E-01    -5.908E-09    -1.464E-08     1.231E-08     2.002E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -2.333E-08    -5.706E-08     1.050E-08     6.253E-08 
   -2.500E-01     2.500E-01     0.000E+00    -1.763E-08    -3.760E-08     2.455E-08     4.824E-08 
   -2.500E-01     2.500E-01     2.500E-01    -1.042E-08    -1.903E-08     2.402E-08     3.236E-08 
    0.000E+00    -2.500E-01    -2.500E-01     5.231E-11    -1.868E-08     3.673E-10     1.868E-08 
    0.000E+00    -2.500E-01     0.000E+00     8.177E-11    -1.580E-08     4.932E-09     1.655E-08 
    0.000E+00    -2.500E-01     2.500E-01     7.261E-11    -1.119E-08     6.991E-09     1.319E-08 
    0.000E+00     0.000E+00    -2.500E-01     1.058E-11    -3.486E-08     3.452E-09     3.503E-08 
    0.000E+00     0.000E+00     0.000E+00     2.974E-12    -2.649E-08     1.181E-08     2.900E-08 
    0.000E+00     0.000E+00     2.500E-01     8.380E-12    -1.622E-08     1.383E-08     2.132E-08 
    0.000E+00     2.500E-01    -2.500E-01    -8.715E-12    -7.141E-08     1.278E-08     7.254E-08 
    0.000E+00     2.500E-01     0.000E+00     6.787E-11    -4.516E-08     2.927E-08     5.382E-08 
    0.000E+00     2.500E-01     2.500E-01     1.666E-11    -2.191E-08     2.702E-08     3.479E-08 
    2.500E-01    -2.500E-01    -2.500E-01     4.802E-09    -1.681E-08     2.721E-10     1.748E-08 
    2.500E-01    -2.500E-01     0.000E+00     4.267E-09    -1.424E-08     4.462E-09     1.552E-08 
    2.500E-01    -2.500E-01     2.500E-01     3.314E-09    -1.011E-08     6.440E-09     1.244E-08 
    2.500E-01     0.000E+00    -2.500E-01     1.003E-08    -2.998E-08     2.640E-09     3.172E-08 
    2.500E-01     0.000E+00     0.000E+00     8.202E-09    -2.348E-08     1.025E-08     2.690E-08 
    2.500E-01     0.000E+00     2.500E-01     5.691E-09    -1.473E-08     1.265E-08     2.024E-08 
    2.500E-01     2.500E-01    -2.500E-01     2.447E-08    -5.935E-08     1.068E-08     6.507E-08 
    2.500E-01     2.500E-01     0.000E+00     1.798E-08    -3.849E-08     2.455E-08     4.907E-08 
    2.500E-01     2.500E-01     2.500E-01     1.068E-08    -1.870E-08     2.406E-08     3.229E-08 
