        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.077E-08    -1.026E-08    -4.112E-08     4.373E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -2.841E-09    -2.962E-09    -2.066E-08     2.107E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -6.439E-10    -6.694E-10    -1.093E-08     1.097E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -6.196E-09    -1.827E-08    -2.483E-08     3.144E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.774E-09    -7.505E-09    -1.501E-08     1.688E-08 
   -2.500E-01     0.000E+00     2.500E-01    -3.700E-10    -3.191E-09    -8.889E-09     9.451E-09 
   -2.500E-01     2.500E-01    -2.500E-01    -2.658E-09    -1.520E-08    -1.128E-08     1.911E-08 
   -2.500E-01     2.500E-01     0.000E+00    -8.128E-10    -7.922E-09    -8.781E-09     1.185E-08 
   -2.500E-01     2.500E-01     2.500E-01    -8.003E-11    -4.127E-09    -6.128E-09     7.388E-09 
    0.000E+00    -2.500E-01    -2.500E-01    -1.807E-08    -6.203E-09    -2.512E-08     3.156E-08 
    0.000E+00    -2.500E-01     0.000E+00    -7.405E-09    -1.817E-09    -1.494E-08     1.677E-08 
    0.000E+00    -2.500E-01     2.500E-01    -3.275E-09    -2.931E-10    -8.943E-09     9.528E-09 
    0.000E+00     0.000E+00    -2.500E-01    -1.196E-08    -1.219E-08    -1.556E-08     2.310E-08 
    0.000E+00     0.000E+00     0.000E+00    -5.554E-09    -5.772E-09    -1.101E-08     1.361E-08 
    0.000E+00     0.000E+00     2.500E-01    -2.609E-09    -2.584E-09    -7.354E-09     8.220E-09 
    0.000E+00     2.500E-01    -2.500E-01    -6.695E-09    -1.156E-08    -7.532E-09     1.534E-08 
    0.000E+00     2.500E-01     0.000E+00    -3.630E-09    -6.535E-09    -6.913E-09     1.018E-08 
    0.000E+00     2.500E-01     2.500E-01    -1.841E-09    -3.507E-09    -5.200E-09     6.537E-09 
    2.500E-01    -2.500E-01    -2.500E-01    -1.566E-08    -2.733E-09    -1.138E-08     1.955E-08 
    2.500E-01    -2.500E-01     0.000E+00    -7.975E-09    -8.617E-10    -8.819E-09     1.192E-08 
    2.500E-01    -2.500E-01     2.500E-01    -4.052E-09    -5.483E-11    -6.075E-09     7.302E-09 
    2.500E-01     0.000E+00    -2.500E-01    -1.164E-08    -6.774E-09    -7.634E-09     1.548E-08 
    2.500E-01     0.000E+00     0.000E+00    -6.492E-09    -3.650E-09    -7.044E-09     1.025E-08 
    2.500E-01     0.000E+00     2.500E-01    -3.474E-09    -1.851E-09    -5.237E-09     6.552E-09 
    2.500E-01     2.500E-01    -2.500E-01    -7.083E-09    -7.246E-09    -3.947E-09     1.087E-08 
    2.500E-01     2.500E-01     0.000E+00    -4.524E-09    -4.633E-09    -4.465E-09     7.865E-09 
    2.500E-01     2.500E-01     2.500E-01    -2.621E-09    -2.634E-09    -3.798E-09     5.314E-09 
