# G10
# Additional notes:
#	naxes: 3
#	device: Bartington Mag13-MSL100
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1000x
#	LPF: 1 kHz
#	HPF: 0 Hz
#	input_mode: balanced
#	output_mode: conditioned
#	mapping: {x:z, y:-y, z:x}
#	cyclotron: OFF
#	degaussed: False
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),position,state,col,row
1743697124.247686,-1.7104549225945265,-0.6571970706810316,0.8791610326078444,0.0246569080246128,0.0151462943150877,0.0144176609646072,-100,1,0,0
1743697127.9181497,-1.4871576279340295,-0.3395070212690371,-2.618683899978987,0.0243387459447421,0.0149068051138062,0.0148920745278936,-100,-1,0,0
1743697208.831962,-1.863972777241652,-0.7428185956141897,1.0487755595289672,0.0238755533190703,0.0147556621922449,0.0145307202046178,-90,1,0,0
1743697212.5008197,-1.5821696207114473,-0.1110051030868817,-3.115469081207648,0.0238721024140917,0.0151340876050834,0.0149597769451447,-90,-1,0,0
1743697266.777484,-1.867416270470021,-0.8424103085763636,1.3342020536078962,0.0238651649584854,0.0147426945204304,0.0146126741521535,-80,1,0,0
1743697270.4480822,-1.6161028017976604,0.0557195682377278,-3.4021265496852537,0.0241261001059077,0.0150947605141888,0.0145000490077374,-80,-1,0,0
1743697311.2941368,-1.8291118526432,-0.9203088815784576,1.3962998398537092,0.0234521739276928,0.0143255731875561,0.0143601703787172,-70,1,0,0
1743697314.970831,-1.6534323563533144,0.19568349846415,-3.465767566642644,0.0243784341530449,0.0163898583267051,0.0147502348987808,-70,-1,0,0
1743697357.2709637,-1.801246649401237,-0.9788472115407604,1.2841141015067843,0.0243890129252323,0.0154286026323504,0.0149056836990134,-60,1,0,0
1743697360.950919,-1.700362229686234,0.3059504545880372,-3.3196572037826444,0.0238803359658965,0.0162440325177342,0.0143726044287537,-60,-1,0,0
1743697407.0443935,-1.7944983263146788,-0.9980157326426888,1.1086112847773255,0.0247222314180834,0.0152409636405539,0.0150872850778495,-50,1,0,0
1743697410.7212412,-1.735112700256086,0.3872593494459215,-3.038842624483296,0.0248455625465104,0.0164892201653213,0.014939793421873,-50,-1,0,0
1743697455.724146,-1.8224998095890987,-1.0153805750122955,0.8078498487893012,0.0236181691231045,0.0146928518524025,0.0145982959842483,-40,1,0,0
1743697459.3977184,-1.7441639917925025,0.4225802191539151,-2.767436485738908,0.0254249667476593,0.0170338424297382,0.0148920350113768,-40,-1,0,0
1743697508.6765895,-1.7807953065373658,-0.9936298442357474,0.5146350368119056,0.0239299775798568,0.0156296052516084,0.0146513309761614,-30,1,0,0
1743697512.350017,-1.7583341848347482,0.4027537796269462,-2.472094681592098,0.0247689813112812,0.0170178532139644,0.0147120748589124,-30,-1,0,0
1743697550.6604176,-1.7968630271186885,-0.9628218831140294,0.1676929160294821,0.0242228274638172,0.0150562304030714,0.0147155708456003,-20,1,0,0
1743697554.3406613,-1.7814445511759367,0.3375737125667729,-2.1525980621856253,0.0247779119909813,0.0168955506696208,0.0145741768643104,-20,-1,0,0
1743697595.6364696,-1.7182292921066438,-0.9113186972584298,-0.2114662263937316,0.023960743574423,0.0153894123101492,0.0148555788935787,-10,1,0,0
1743697599.315635,-1.7833108999690557,0.2400443681577053,-1.7893269132367096,0.0242610617873081,0.0168870771451523,0.0147753212745512,-10,-1,0,0
1743697622.371092,-1.657977186036642,-0.8232599555406886,-0.5935480441460459,0.0236249171577221,0.0152071053888445,0.0146481148705641,0,1,0,0
1743697626.0415847,-1.7833262549153732,0.1337329321616562,-1.3847831923595733,0.024630261221251,0.0166163521424362,0.0145172331582359,0,-1,0,0
1743697648.3012428,-1.5713518070685313,-0.72719523076943,-0.965299382213252,0.023512100761755,0.0150745907615568,0.0146350267252727,10,1,0,0
1743697651.9756193,-1.8038939906165976,0.0107838452994656,-0.8877833544513487,0.0239338523583949,0.0173061383149682,0.0145058508562699,10,-1,0,0
1743697674.162198,-1.531970042448429,-0.6005575185333327,-1.3510380214557518,0.0233347758729575,0.0145770458227751,0.0142716599600685,20,1,0,0
1743697677.8439949,-1.924775395254692,-0.0987586152275616,-0.3578164467993883,0.0240646089008177,0.0163171477304684,0.0144771722013561,20,-1,0,0
1743697700.0903862,-1.486989465875631,-0.4857988303649108,-1.839350554290395,0.0242004720184996,0.015327681331524,0.0146768242739896,30,1,0,0
1743697703.7836576,-2.048382478684143,-0.21031866881538,0.1015806122793947,0.0235830926091214,0.0156514456360891,0.0146125362748467,30,-1,0,0
1743697724.0117824,-1.4309629394473269,-0.3904469970707759,-2.369226152757765,0.0242492543682541,0.0155524422699152,0.0146683429692754,40,1,0,0
1743697727.690503,-2.092240346904691,-0.311944267491308,0.5467604366992237,0.0245851952670764,0.0157474888996039,0.0149573275296785,40,-1,0,0
1743705581.1181147,-1.8300084174094808,-0.6111902132560135,-3.3222177680622007,0.02346603937572,0.0148060920715295,0.014242608851219,50,1,0,0
1743705584.8119228,-2.526342964580836,-0.6664528213372433,0.5575215972323168,0.0235962913322384,0.0151326510320515,0.0147778844594458,50,-1,0,0
1743705851.9440036,-1.786576111721479,-0.5392803428155275,-3.713861732117093,0.0243559671201691,0.0154268449145332,0.0151543051771811,60,1,0,0
1743705855.623282,-2.401982394790739,-0.7235825596337964,1.046641808057484,0.0232781424856651,0.0148295526841125,0.0145532126037433,60,-1,0,0
