        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -4.018E-09     1.292E-10    -6.034E-09     7.251E-09 
   -2.500E-01    -2.500E-01     0.000E+00    -7.873E-09     8.331E-10    -8.637E-09     1.172E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.518E-08     2.783E-09    -1.118E-08     1.906E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -3.473E-09     1.780E-09    -5.106E-09     6.427E-09 
   -2.500E-01     0.000E+00     0.000E+00    -6.446E-09     3.512E-09    -6.843E-09     1.004E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.146E-08     6.693E-09    -7.547E-09     1.527E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -2.616E-09     2.587E-09    -3.735E-09     5.243E-09 
   -2.500E-01     2.500E-01     0.000E+00    -4.419E-09     4.411E-09    -4.386E-09     7.630E-09 
   -2.500E-01     2.500E-01     2.500E-01    -7.054E-09     7.046E-09    -4.015E-09     1.075E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -3.117E-09     3.640E-10    -8.807E-09     9.350E-09 
    0.000E+00    -2.500E-01     0.000E+00    -7.356E-09     1.814E-09    -1.462E-08     1.647E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.720E-08     5.775E-09    -2.396E-08     3.005E-08 
    0.000E+00     0.000E+00    -2.500E-01    -2.619E-09     2.617E-09    -7.257E-09     8.147E-09 
    0.000E+00     0.000E+00     0.000E+00    -5.661E-09     5.551E-09    -1.108E-08     1.362E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.203E-08     1.190E-08    -1.577E-08     2.312E-08 
    0.000E+00     2.500E-01    -2.500E-01    -1.794E-09     3.472E-09    -5.110E-09     6.433E-09 
    0.000E+00     2.500E-01     0.000E+00    -3.525E-09     6.393E-09    -6.790E-09     9.970E-09 
    0.000E+00     2.500E-01     2.500E-01    -6.655E-09     1.131E-08    -7.578E-09     1.516E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -5.525E-10     6.506E-10    -1.083E-08     1.087E-08 
    2.500E-01    -2.500E-01     0.000E+00    -3.081E-09     2.920E-09    -2.017E-08     2.061E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.068E-08     9.885E-09    -3.947E-08     4.207E-08 
    2.500E-01     0.000E+00    -2.500E-01    -3.948E-10     3.097E-09    -8.755E-09     9.295E-09 
    2.500E-01     0.000E+00     0.000E+00    -1.758E-09     7.254E-09    -1.465E-08     1.644E-08 
    2.500E-01     0.000E+00     2.500E-01    -6.487E-09     1.740E-08    -2.416E-08     3.047E-08 
    2.500E-01     2.500E-01    -2.500E-01    -6.969E-11     3.975E-09    -6.027E-09     7.220E-09 
    2.500E-01     2.500E-01     0.000E+00    -8.271E-10     7.845E-09    -8.580E-09     1.166E-08 
    2.500E-01     2.500E-01     2.500E-01    -2.602E-09     1.539E-08    -1.089E-08     1.903E-08 
