channel_number,calibrated_vec_i
0,-0.03999999999998741
1,-0.03999999999998662
2,0.039999999999999376
3,0.04
4,1.0164935866745993e-15
5,3.68888801615782e-16
6,2.582221611310474e-16
7,-0.010432452922424961
8,0.01043245292242625
9,0.03999999999999685
10,0.03999999999999685
11,-0.03999999999998959
12,-0.03999999999998882
13,1.4345675618391525e-17
14,2.0329871733491986e-15
15,1.8587896836973016e-15
16,0.010432452922427312
17,-0.010432452922423374
18,-0.005876740076048826
19,0.005876740076054696
20,-0.005876740076048498
21,0.005876740076054499
22,5.410369090364803e-16
23,2.0165921154996084e-15
24,1.9059254750148738e-15
25,-1.631308256034236e-15
26,-1.6190119626470434e-15
27,-0.005876740076049285
28,0.005876740076054204
29,0.005876740076053712
30,-0.0058767400760492364
31,1.1476540494713219e-15
32,2.4039253571961793e-15
33,3.0822708757229785e-15
34,-2.0001970576500182e-15
35,-2.4838512642129323e-15
36,-0.0399999999999878
37,0.039999999999999605
38,0.039999999999998676
39,-0.03999999999998843
40,4.1807397516455296e-16
41,-0.010432452922423952
42,0.01043245292242646
43,-9.837034709754188e-16
44,-1.7050860163573924e-15
45,0.039999999999997746
46,-0.03999999999998803
47,0.03999999999999836
48,-0.03999999999998805
49,3.642776915955847e-16
