        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -5.026E-09     1.037E-09    -1.843E-08     1.913E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -1.077E-08     4.551E-09    -3.265E-08     3.468E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -2.500E-08     1.612E-08    -6.188E-08     6.866E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -4.414E-09     5.263E-09    -1.497E-08     1.647E-08 
   -2.500E-01     0.000E+00     0.000E+00    -8.598E-09     1.195E-08    -2.396E-08     2.812E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.731E-08     2.833E-08    -3.763E-08     5.019E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -3.334E-09     7.083E-09    -1.050E-08     1.310E-08 
   -2.500E-01     2.500E-01     0.000E+00    -5.713E-09     1.331E-08    -1.436E-08     2.040E-08 
   -2.500E-01     2.500E-01     2.500E-01    -9.759E-09     2.488E-08    -1.758E-08     3.199E-08 
    0.000E+00    -2.500E-01    -2.500E-01     2.479E-11     1.052E-09    -2.024E-08     2.027E-08 
    0.000E+00    -2.500E-01     0.000E+00    -3.192E-10     5.086E-09    -3.712E-08     3.746E-08 
    0.000E+00    -2.500E-01     2.500E-01     4.272E-10     1.823E-08    -7.404E-08     7.625E-08 
    0.000E+00     0.000E+00    -2.500E-01    -1.216E-10     5.932E-09    -1.641E-08     1.745E-08 
    0.000E+00     0.000E+00     0.000E+00    -2.291E-10     1.344E-08    -2.718E-08     3.032E-08 
    0.000E+00     0.000E+00     2.500E-01     1.324E-10     3.242E-08    -4.491E-08     5.539E-08 
    0.000E+00     2.500E-01    -2.500E-01    -7.492E-11     7.656E-09    -1.140E-08     1.373E-08 
    0.000E+00     2.500E-01     0.000E+00    -1.276E-10     1.480E-08    -1.611E-08     2.188E-08 
    0.000E+00     2.500E-01     2.500E-01    -2.637E-10     2.808E-08    -2.019E-08     3.459E-08 
    2.500E-01    -2.500E-01    -2.500E-01     5.193E-09     9.063E-10    -1.831E-08     1.906E-08 
    2.500E-01    -2.500E-01     0.000E+00     1.064E-08     4.560E-09    -3.341E-08     3.536E-08 
    2.500E-01    -2.500E-01     2.500E-01     2.334E-08     1.572E-08    -6.371E-08     6.964E-08 
    2.500E-01     0.000E+00    -2.500E-01     4.399E-09     5.280E-09    -1.510E-08     1.659E-08 
    2.500E-01     0.000E+00     0.000E+00     8.508E-09     1.212E-08    -2.431E-08     2.846E-08 
    2.500E-01     0.000E+00     2.500E-01     1.670E-08     2.833E-08    -3.835E-08     5.052E-08 
    2.500E-01     2.500E-01    -2.500E-01     3.416E-09     6.978E-09    -1.047E-08     1.304E-08 
    2.500E-01     2.500E-01     0.000E+00     5.652E-09     1.328E-08    -1.427E-08     2.029E-08 
    2.500E-01     2.500E-01     2.500E-01     9.910E-09     2.559E-08    -1.758E-08     3.259E-08 
