        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     7.243E-10     7.442E-10    -1.096E-08     1.101E-08 
   -2.500E-01    -2.500E-01     0.000E+00     2.793E-09     3.077E-09    -2.033E-08     2.075E-08 
   -2.500E-01    -2.500E-01     2.500E-01     1.038E-08     1.045E-08    -4.026E-08     4.287E-08 
   -2.500E-01     0.000E+00    -2.500E-01     3.593E-10     3.120E-09    -8.841E-09     9.383E-09 
   -2.500E-01     0.000E+00     0.000E+00     1.753E-09     7.283E-09    -1.462E-08     1.643E-08 
   -2.500E-01     0.000E+00     2.500E-01     6.142E-09     1.773E-08    -2.432E-08     3.072E-08 
   -2.500E-01     2.500E-01    -2.500E-01     8.976E-11     4.128E-09    -6.121E-09     7.383E-09 
   -2.500E-01     2.500E-01     0.000E+00     8.039E-10     7.954E-09    -8.725E-09     1.183E-08 
   -2.500E-01     2.500E-01     2.500E-01     2.672E-09     1.530E-08    -1.130E-08     1.921E-08 
    0.000E+00    -2.500E-01    -2.500E-01     3.126E-09     3.862E-10    -8.880E-09     9.422E-09 
    0.000E+00    -2.500E-01     0.000E+00     7.243E-09     1.851E-09    -1.472E-08     1.651E-08 
    0.000E+00    -2.500E-01     2.500E-01     1.768E-08     6.102E-09    -2.458E-08     3.088E-08 
    0.000E+00     0.000E+00    -2.500E-01     2.539E-09     2.647E-09    -7.301E-09     8.171E-09 
    0.000E+00     0.000E+00     0.000E+00     5.543E-09     5.613E-09    -1.109E-08     1.361E-08 
    0.000E+00     0.000E+00     2.500E-01     1.198E-08     1.201E-08    -1.538E-08     2.290E-08 
    0.000E+00     2.500E-01    -2.500E-01     1.735E-09     3.537E-09    -5.185E-09     6.512E-09 
    0.000E+00     2.500E-01     0.000E+00     3.466E-09     6.525E-09    -6.887E-09     1.010E-08 
    0.000E+00     2.500E-01     2.500E-01     6.522E-09     1.154E-08    -7.596E-09     1.528E-08 
    2.500E-01    -2.500E-01    -2.500E-01     4.014E-09     1.106E-10    -6.058E-09     7.268E-09 
    2.500E-01    -2.500E-01     0.000E+00     8.052E-09     8.889E-10    -8.970E-09     1.209E-08 
    2.500E-01    -2.500E-01     2.500E-01     1.544E-08     2.631E-09    -1.156E-08     1.946E-08 
    2.500E-01     0.000E+00    -2.500E-01     3.486E-09     1.804E-09    -5.208E-09     6.522E-09 
    2.500E-01     0.000E+00     0.000E+00     6.443E-09     3.619E-09    -6.999E-09     1.018E-08 
    2.500E-01     0.000E+00     2.500E-01     1.161E-08     6.836E-09    -7.790E-09     1.556E-08 
    2.500E-01     2.500E-01    -2.500E-01     2.636E-09     2.600E-09    -3.766E-09     5.281E-09 
    2.500E-01     2.500E-01     0.000E+00     4.411E-09     4.413E-09    -4.396E-09     7.632E-09 
    2.500E-01     2.500E-01     2.500E-01     7.199E-09     7.270E-09    -4.105E-09     1.102E-08 
