# G10
# Additional notes:
#	naxes: 3
#	device: Bartington Mag13-MSL100
#	pos_unit: cm
#	scaling: 100 mV/uT
#	power: Bartington SCU1
#	gain: 1000x
#	LPF: 1 kHz
#	HPF: 0 Hz
#	input_mode: balanced
#	output_mode: conditioned
#	mapping: {x:z, y:-y, z:x}
#	cyclotron: OFF
#	degaussed: False
#	inverted_distances: False
#	offset_cm: 0
#
time (epoch),Bx (V),By (V),Bz (V),dBx (V),dBy (V),dBz (V),position,state,coil,col,row
1744671677.9214935,-0.0388269704036065,0.0219142278241633,0.0188241718588687,0.0222935606705725,0.0258976603841648,0.0142913720512974,-99.5,1,32,0,0
1744671678.388074,-0.0370889311364589,0.0216144742665346,0.021238610186192,0.0244273063485165,0.0258631149944732,0.0152455406468436,-99.5,-1,32,0,0
1744671678.8254488,-0.0684478730545379,0.0221622512318572,-0.1513728662445646,0.0249872465818918,0.0259799525363257,0.0151332271004681,-99.5,1,44,0,0
1744671679.289899,0.0024286837338877,0.0217820111871697,0.1977770457632141,0.024565694647084,0.0259501249539154,0.0154676029952418,-99.5,-1,44,0,0
1744671679.726375,-0.0713372597977286,0.0221917889911856,-0.1544873025826382,0.0236986434737695,0.0257879009185966,0.0147138028171039,-99.5,1,37,0,0
1744671680.1898851,0.0060451056961028,0.0219623634319577,0.2003457368336967,0.022631285927612,0.0260570862023361,0.0142689645233318,-99.5,-1,37,0,0
1744671680.629885,-0.0660289024784288,0.021972053067293,0.2783382367847662,0.0242110330887875,0.0257316323843743,0.014738120940066,-99.5,1,26,0,0
1744671681.0955148,0.0019260729719826,0.0217749783873296,-0.231173108323419,0.0241245877026983,0.0258269358090613,0.0154796818279287,-99.5,-1,26,0,0
1744671681.5367,-0.0382229310395632,0.0217188722730497,0.0164444286774232,0.0224058060815614,0.0257649420550562,0.0143838232891465,-99.5,1,40,0,0
1744671682.0040374,-0.035486077910682,0.0221417779701005,0.0192656754043855,0.0245255480881809,0.0258093062007226,0.0146437826876422,-99.5,-1,40,0,0
1744671682.444523,0.3091061109473958,0.0216541705145209,-0.6136689626307634,0.0243025458740328,0.0257845634241157,0.0152961613752513,-99.5,1,15,0,0
1744671682.906602,-0.3764398087003792,0.022198352937703,0.6609872498441837,0.0235421237468686,0.0257767900343698,0.014772701222468,-99.5,-1,15,0,0
1744671683.3426318,2.800690345405456,0.0220625417585688,-2.469453708967704,0.0231129079627148,0.0259522557650026,0.0142905299470038,-99.5,1,16,0,0
1744671683.8076422,-2.868212678478594,0.021964863983012,2.517512628146505,0.0232841992317687,0.0258500485224207,0.0141485831766476,-99.5,-1,16,0,0
1744671684.2405236,-0.0393564620893448,0.0223712035293283,-0.0505536171414132,0.0231666012315509,0.0259150684766141,0.01469748614791,-99.5,1,5,0,0
1744671684.704846,-0.0396480888560472,0.0216732372163096,0.0869201158749638,0.0231151960644887,0.0258037949248816,0.014753394455615,-99.5,-1,5,0,0
1744671685.1398551,-0.0435561375849647,0.0219198540640354,-0.027034059062862,0.0241421397304496,0.0259505730715502,0.0150769071453481,-99.5,1,38,0,0
