        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.344E-08    -7.137E-08    -1.305E-08     7.378E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -8.803E-09    -4.624E-08    -2.906E-08     5.532E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -3.867E-09    -2.206E-08    -2.702E-08     3.509E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -3.271E-09    -3.539E-08    -3.526E-09     3.572E-08 
   -2.500E-01     0.000E+00     0.000E+00    -2.248E-09    -2.711E-08    -1.211E-08     2.977E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.003E-09    -1.640E-08    -1.361E-08     2.133E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -6.609E-10    -1.872E-08    -4.865E-10     1.873E-08 
   -2.500E-01     2.500E-01     0.000E+00    -1.878E-10    -1.564E-08    -4.914E-09     1.639E-08 
   -2.500E-01     2.500E-01     2.500E-01     1.168E-10    -1.115E-08    -6.912E-09     1.312E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -2.939E-08    -4.679E-08    -8.373E-09     5.588E-08 
    0.000E+00    -2.500E-01     0.000E+00    -2.129E-08    -3.082E-08    -2.087E-08     4.288E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.227E-08    -1.569E-08    -2.123E-08     2.911E-08 
    0.000E+00     0.000E+00    -2.500E-01    -1.188E-08    -2.660E-08    -2.060E-09     2.920E-08 
    0.000E+00     0.000E+00     0.000E+00    -9.386E-09    -2.110E-08    -9.328E-09     2.491E-08 
    0.000E+00     0.000E+00     2.500E-01    -6.320E-09    -1.317E-08    -1.151E-08     1.860E-08 
    0.000E+00     2.500E-01    -2.500E-01    -4.941E-09    -1.570E-08    -1.105E-10     1.646E-08 
    0.000E+00     2.500E-01     0.000E+00    -4.290E-09    -1.343E-08    -4.237E-09     1.472E-08 
    0.000E+00     2.500E-01     2.500E-01    -3.070E-09    -9.580E-09    -6.089E-09     1.176E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -2.698E-08    -2.203E-08    -3.503E-09     3.501E-08 
    2.500E-01    -2.500E-01     0.000E+00    -2.108E-08    -1.559E-08    -1.198E-08     2.883E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.335E-08    -8.429E-09    -1.339E-08     2.070E-08 
    2.500E-01     0.000E+00    -2.500E-01    -1.377E-08    -1.634E-08    -8.781E-10     2.138E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.138E-08    -1.307E-08    -6.208E-09     1.841E-08 
    2.500E-01     0.000E+00     2.500E-01    -8.005E-09    -8.707E-09    -8.107E-09     1.434E-08 
    2.500E-01     2.500E-01    -2.500E-01    -6.906E-09    -1.099E-08     1.324E-10     1.298E-08 
    2.500E-01     2.500E-01     0.000E+00    -6.146E-09    -9.641E-09    -2.967E-09     1.181E-08 
    2.500E-01     2.500E-01     2.500E-01    -4.613E-09    -7.051E-09    -4.621E-09     9.610E-09 
