        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     1.080E-09    -5.186E-09    -1.886E-08     1.959E-08 
   -2.500E-01    -2.500E-01     0.000E+00     4.450E-09    -1.071E-08    -3.350E-08     3.545E-08 
   -2.500E-01    -2.500E-01     2.500E-01     1.609E-08    -2.548E-08    -6.276E-08     6.962E-08 
   -2.500E-01     0.000E+00    -2.500E-01     1.139E-09    -3.710E-11    -2.047E-08     2.050E-08 
   -2.500E-01     0.000E+00     0.000E+00     5.290E-09     2.073E-10    -3.751E-08     3.789E-08 
   -2.500E-01     0.000E+00     2.500E-01     1.945E-08    -1.355E-10    -7.584E-08     7.829E-08 
   -2.500E-01     2.500E-01    -2.500E-01     8.609E-10     5.406E-09    -1.884E-08     1.962E-08 
   -2.500E-01     2.500E-01     0.000E+00     4.401E-09     1.090E-08    -3.330E-08     3.531E-08 
   -2.500E-01     2.500E-01     2.500E-01     1.558E-08     2.446E-08    -6.326E-08     6.959E-08 
    0.000E+00    -2.500E-01    -2.500E-01     5.453E-09    -4.437E-09    -1.538E-08     1.691E-08 
    0.000E+00    -2.500E-01     0.000E+00     1.213E-08    -8.663E-09    -2.437E-08     2.856E-08 
    0.000E+00    -2.500E-01     2.500E-01     2.859E-08    -1.725E-08    -3.825E-08     5.077E-08 
    0.000E+00     0.000E+00    -2.500E-01     5.900E-09     1.220E-10    -1.682E-08     1.783E-08 
    0.000E+00     0.000E+00     0.000E+00     1.369E-08    -1.717E-10    -2.762E-08     3.082E-08 
    0.000E+00     0.000E+00     2.500E-01     3.274E-08    -1.803E-10    -4.438E-08     5.515E-08 
    0.000E+00     2.500E-01    -2.500E-01     5.297E-09     4.567E-09    -1.537E-08     1.688E-08 
    0.000E+00     2.500E-01     0.000E+00     1.219E-08     8.848E-09    -2.462E-08     2.887E-08 
    0.000E+00     2.500E-01     2.500E-01     2.862E-08     1.748E-08    -3.806E-08     5.073E-08 
    2.500E-01    -2.500E-01    -2.500E-01     7.182E-09    -3.297E-09    -1.065E-08     1.326E-08 
    2.500E-01    -2.500E-01     0.000E+00     1.383E-08    -5.953E-09    -1.500E-08     2.125E-08 
    2.500E-01    -2.500E-01     2.500E-01     2.550E-08    -1.032E-08    -1.796E-08     3.285E-08 
    2.500E-01     0.000E+00    -2.500E-01     7.778E-09    -1.141E-11    -1.169E-08     1.404E-08 
    2.500E-01     0.000E+00     0.000E+00     1.506E-08     1.794E-10    -1.663E-08     2.244E-08 
    2.500E-01     0.000E+00     2.500E-01     2.900E-08     1.804E-10    -2.083E-08     3.571E-08 
    2.500E-01     2.500E-01    -2.500E-01     7.219E-09     3.370E-09    -1.064E-08     1.329E-08 
    2.500E-01     2.500E-01     0.000E+00     1.346E-08     5.635E-09    -1.456E-08     2.061E-08 
    2.500E-01     2.500E-01     2.500E-01     2.588E-08     9.949E-09    -1.812E-08     3.312E-08 
