        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     2.458E-08    -5.757E-08    -1.082E-08     6.353E-08 
   -2.500E-01    -2.500E-01     0.000E+00     1.718E-08    -3.848E-08    -2.451E-08     4.875E-08 
   -2.500E-01    -2.500E-01     2.500E-01     1.022E-08    -1.865E-08    -2.378E-08     3.190E-08 
   -2.500E-01     0.000E+00    -2.500E-01     1.045E-08    -3.034E-08    -2.583E-09     3.220E-08 
   -2.500E-01     0.000E+00     0.000E+00     8.280E-09    -2.346E-08    -1.048E-08     2.699E-08 
   -2.500E-01     0.000E+00     2.500E-01     5.732E-09    -1.459E-08    -1.237E-08     1.997E-08 
   -2.500E-01     2.500E-01    -2.500E-01     4.782E-09    -1.685E-08    -2.989E-10     1.751E-08 
   -2.500E-01     2.500E-01     0.000E+00     4.246E-09    -1.429E-08    -4.436E-09     1.555E-08 
   -2.500E-01     2.500E-01     2.500E-01     3.281E-09    -1.031E-08    -6.437E-09     1.259E-08 
    0.000E+00    -2.500E-01    -2.500E-01     1.727E-10    -7.137E-08    -1.305E-08     7.255E-08 
    0.000E+00    -2.500E-01     0.000E+00     3.083E-10    -4.568E-08    -2.879E-08     5.400E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.295E-10    -2.206E-08    -2.749E-08     3.525E-08 
    0.000E+00     0.000E+00    -2.500E-01    -4.034E-11    -3.460E-08    -3.094E-09     3.474E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.142E-10    -2.652E-08    -1.162E-08     2.895E-08 
    0.000E+00     0.000E+00     2.500E-01    -2.433E-10    -1.641E-08    -1.394E-08     2.153E-08 
    0.000E+00     2.500E-01    -2.500E-01     4.089E-11    -1.863E-08    -2.771E-10     1.863E-08 
    0.000E+00     2.500E-01     0.000E+00    -2.990E-11    -1.588E-08    -4.999E-09     1.665E-08 
    0.000E+00     2.500E-01     2.500E-01    -5.894E-11    -1.114E-08    -6.963E-09     1.314E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -2.384E-08    -5.761E-08    -1.030E-08     6.319E-08 
    2.500E-01    -2.500E-01     0.000E+00    -1.796E-08    -3.774E-08    -2.461E-08     4.850E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.030E-08    -1.835E-08    -2.372E-08     3.171E-08 
    2.500E-01     0.000E+00    -2.500E-01    -1.018E-08    -3.029E-08    -2.549E-09     3.205E-08 
    2.500E-01     0.000E+00     0.000E+00    -8.382E-09    -2.314E-08    -1.042E-08     2.673E-08 
    2.500E-01     0.000E+00     2.500E-01    -5.628E-09    -1.436E-08    -1.238E-08     1.978E-08 
    2.500E-01     2.500E-01    -2.500E-01    -4.841E-09    -1.688E-08    -2.536E-10     1.756E-08 
    2.500E-01     2.500E-01     0.000E+00    -4.327E-09    -1.434E-08    -4.419E-09     1.562E-08 
    2.500E-01     2.500E-01     2.500E-01    -3.242E-09    -1.016E-08    -6.396E-09     1.243E-08 
