        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     9.981E-09    -1.866E-08     2.378E-08     3.183E-08 
   -2.500E-01    -2.500E-01     0.000E+00     1.754E-08    -3.790E-08     2.483E-08     4.859E-08 
   -2.500E-01    -2.500E-01     2.500E-01     2.438E-08    -5.768E-08     1.048E-08     6.349E-08 
   -2.500E-01     0.000E+00    -2.500E-01     5.815E-09    -1.440E-08     1.242E-08     1.988E-08 
   -2.500E-01     0.000E+00     0.000E+00     8.352E-09    -2.320E-08     1.060E-08     2.684E-08 
   -2.500E-01     0.000E+00     2.500E-01     1.027E-08    -3.050E-08     2.588E-09     3.229E-08 
   -2.500E-01     2.500E-01    -2.500E-01     3.207E-09    -1.020E-08     6.445E-09     1.248E-08 
   -2.500E-01     2.500E-01     0.000E+00     4.245E-09    -1.425E-08     4.572E-09     1.555E-08 
   -2.500E-01     2.500E-01     2.500E-01     4.838E-09    -1.708E-08     3.901E-10     1.775E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -1.522E-10    -2.159E-08     2.711E-08     3.465E-08 
    0.000E+00    -2.500E-01     0.000E+00    -5.751E-12    -4.640E-08     2.937E-08     5.491E-08 
    0.000E+00    -2.500E-01     2.500E-01     3.983E-10    -7.181E-08     1.344E-08     7.306E-08 
    0.000E+00     0.000E+00    -2.500E-01    -3.955E-11    -1.621E-08     1.363E-08     2.118E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.426E-10    -2.637E-08     1.157E-08     2.880E-08 
    0.000E+00     0.000E+00     2.500E-01    -3.477E-10    -3.577E-08     3.425E-09     3.593E-08 
    0.000E+00     2.500E-01    -2.500E-01     6.029E-11    -1.112E-08     6.987E-09     1.313E-08 
    0.000E+00     2.500E-01     0.000E+00     3.842E-11    -1.579E-08     5.046E-09     1.658E-08 
    0.000E+00     2.500E-01     2.500E-01     5.112E-11    -1.875E-08     4.610E-10     1.876E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.022E-08    -1.813E-08     2.356E-08     3.143E-08 
    2.500E-01    -2.500E-01     0.000E+00    -1.761E-08    -3.808E-08     2.440E-08     4.854E-08 
    2.500E-01    -2.500E-01     2.500E-01    -2.446E-08    -5.950E-08     1.053E-08     6.519E-08 
    2.500E-01     0.000E+00    -2.500E-01    -5.710E-09    -1.445E-08     1.233E-08     1.984E-08 
    2.500E-01     0.000E+00     0.000E+00    -8.292E-09    -2.299E-08     1.060E-08     2.664E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.021E-08    -3.043E-08     2.683E-09     3.221E-08 
    2.500E-01     2.500E-01    -2.500E-01    -3.315E-09    -1.011E-08     6.406E-09     1.242E-08 
    2.500E-01     2.500E-01     0.000E+00    -4.332E-09    -1.416E-08     4.409E-09     1.545E-08 
    2.500E-01     2.500E-01     2.500E-01    -4.855E-09    -1.700E-08     3.038E-10     1.768E-08 
