        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     1.412E-10    -4.067E-09    -6.052E-09     7.293E-09 
   -2.500E-01    -2.500E-01     0.000E+00     8.196E-10    -7.906E-09    -8.667E-09     1.176E-08 
   -2.500E-01    -2.500E-01     2.500E-01     2.688E-09    -1.533E-08    -1.106E-08     1.909E-08 
   -2.500E-01     0.000E+00    -2.500E-01     4.129E-10    -3.122E-09    -8.682E-09     9.235E-09 
   -2.500E-01     0.000E+00     0.000E+00     1.996E-09    -7.141E-09    -1.461E-08     1.638E-08 
   -2.500E-01     0.000E+00     2.500E-01     6.101E-09    -1.765E-08    -2.420E-08     3.057E-08 
   -2.500E-01     2.500E-01    -2.500E-01     5.666E-10    -5.934E-10    -1.085E-08     1.088E-08 
   -2.500E-01     2.500E-01     0.000E+00     2.823E-09    -2.892E-09    -2.013E-08     2.053E-08 
   -2.500E-01     2.500E-01     2.500E-01     9.731E-09    -1.014E-08    -3.974E-08     4.215E-08 
    0.000E+00    -2.500E-01    -2.500E-01     1.808E-09    -3.447E-09    -5.126E-09     6.436E-09 
    0.000E+00    -2.500E-01     0.000E+00     3.499E-09    -6.409E-09    -6.746E-09     9.941E-09 
    0.000E+00    -2.500E-01     2.500E-01     6.593E-09    -1.130E-08    -7.417E-09     1.504E-08 
    0.000E+00     0.000E+00    -2.500E-01     2.568E-09    -2.561E-09    -7.330E-09     8.179E-09 
    0.000E+00     0.000E+00     0.000E+00     5.595E-09    -5.678E-09    -1.105E-08     1.362E-08 
    0.000E+00     0.000E+00     2.500E-01     1.203E-08    -1.195E-08    -1.535E-08     2.287E-08 
    0.000E+00     2.500E-01    -2.500E-01     3.067E-09    -3.640E-10    -8.763E-09     9.291E-09 
    0.000E+00     2.500E-01     0.000E+00     7.313E-09    -1.734E-09    -1.473E-08     1.653E-08 
    0.000E+00     2.500E-01     2.500E-01     1.763E-08    -5.861E-09    -2.390E-08     3.027E-08 
    2.500E-01    -2.500E-01    -2.500E-01     2.602E-09    -2.547E-09    -3.724E-09     5.208E-09 
    2.500E-01    -2.500E-01     0.000E+00     4.439E-09    -4.495E-09    -4.425E-09     7.713E-09 
    2.500E-01    -2.500E-01     2.500E-01     7.039E-09    -7.107E-09    -3.946E-09     1.075E-08 
    2.500E-01     0.000E+00    -2.500E-01     3.464E-09    -1.799E-09    -5.142E-09     6.455E-09 
    2.500E-01     0.000E+00     0.000E+00     6.413E-09    -3.480E-09    -6.856E-09     1.001E-08 
    2.500E-01     0.000E+00     2.500E-01     1.138E-08    -6.599E-09    -7.659E-09     1.523E-08 
    2.500E-01     2.500E-01    -2.500E-01     3.995E-09    -7.622E-11    -5.993E-09     7.203E-09 
    2.500E-01     2.500E-01     0.000E+00     7.736E-09    -9.287E-10    -8.583E-09     1.159E-08 
    2.500E-01     2.500E-01     2.500E-01     1.531E-08    -2.837E-09    -1.118E-08     1.917E-08 
