        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     2.741E-08    -2.180E-08    -3.937E-09     3.524E-08 
   -2.500E-01    -2.500E-01     0.000E+00     2.087E-08    -1.576E-08    -1.188E-08     2.872E-08 
   -2.500E-01    -2.500E-01     2.500E-01     1.336E-08    -8.556E-09    -1.337E-08     2.075E-08 
   -2.500E-01     0.000E+00    -2.500E-01     1.387E-08    -1.631E-08    -8.105E-10     2.142E-08 
   -2.500E-01     0.000E+00     0.000E+00     1.132E-08    -1.305E-08    -6.096E-09     1.832E-08 
   -2.500E-01     0.000E+00     2.500E-01     8.079E-09    -8.750E-09    -8.105E-09     1.441E-08 
   -2.500E-01     2.500E-01    -2.500E-01     6.947E-09    -1.096E-08     4.991E-11     1.298E-08 
   -2.500E-01     2.500E-01     0.000E+00     6.088E-09    -9.591E-09    -2.986E-09     1.175E-08 
   -2.500E-01     2.500E-01     2.500E-01     4.678E-09    -7.146E-09    -4.647E-09     9.723E-09 
    0.000E+00    -2.500E-01    -2.500E-01     2.919E-08    -4.563E-08    -8.734E-09     5.487E-08 
    0.000E+00    -2.500E-01     0.000E+00     2.123E-08    -3.054E-08    -2.076E-08     4.260E-08 
    0.000E+00    -2.500E-01     2.500E-01     1.207E-08    -1.582E-08    -2.121E-08     2.908E-08 
    0.000E+00     0.000E+00    -2.500E-01     1.179E-08    -2.658E-08    -2.233E-09     2.917E-08 
    0.000E+00     0.000E+00     0.000E+00     9.236E-09    -2.054E-08    -9.351E-09     2.439E-08 
    0.000E+00     0.000E+00     2.500E-01     6.039E-09    -1.321E-08    -1.170E-08     1.866E-08 
    0.000E+00     2.500E-01    -2.500E-01     4.995E-09    -1.558E-08    -1.668E-10     1.636E-08 
    0.000E+00     2.500E-01     0.000E+00     4.248E-09    -1.342E-08    -4.307E-09     1.472E-08 
    0.000E+00     2.500E-01     2.500E-01     2.973E-09    -9.569E-09    -6.089E-09     1.173E-08 
    2.500E-01    -2.500E-01    -2.500E-01     1.283E-08    -7.109E-08    -1.356E-08     7.350E-08 
    2.500E-01    -2.500E-01     0.000E+00     8.258E-09    -4.601E-08    -2.889E-08     5.495E-08 
    2.500E-01    -2.500E-01     2.500E-01     3.658E-09    -2.183E-08    -2.706E-08     3.496E-08 
    2.500E-01     0.000E+00    -2.500E-01     3.518E-09    -3.521E-08    -3.303E-09     3.553E-08 
    2.500E-01     0.000E+00     0.000E+00     2.015E-09    -2.661E-08    -1.185E-08     2.920E-08 
    2.500E-01     0.000E+00     2.500E-01     1.002E-09    -1.607E-08    -1.367E-08     2.112E-08 
    2.500E-01     2.500E-01    -2.500E-01     5.332E-10    -1.875E-08    -5.543E-10     1.876E-08 
    2.500E-01     2.500E-01     0.000E+00     1.269E-10    -1.568E-08    -4.880E-09     1.642E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.089E-10    -1.101E-08    -6.884E-09     1.299E-08 
