        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.881E-08    -5.156E-09     9.809E-10     1.952E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -1.533E-08    -4.553E-09     5.403E-09     1.688E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.073E-08    -3.436E-09     7.302E-09     1.343E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -2.073E-08    -1.584E-12     9.516E-10     2.075E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.664E-08    -6.922E-11     5.928E-09     1.766E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.163E-08    -1.748E-11     7.810E-09     1.401E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -1.879E-08     5.146E-09     9.922E-10     1.951E-08 
   -2.500E-01     2.500E-01     0.000E+00    -1.535E-08     4.533E-09     5.414E-09     1.690E-08 
   -2.500E-01     2.500E-01     2.500E-01    -1.075E-08     3.375E-09     7.174E-09     1.336E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -3.343E-08    -1.086E-08     4.877E-09     3.549E-08 
    0.000E+00    -2.500E-01     0.000E+00    -2.462E-08    -8.410E-09     1.240E-08     2.882E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.488E-08    -5.790E-09     1.365E-08     2.101E-08 
    0.000E+00     0.000E+00    -2.500E-01    -3.739E-08     1.880E-10     5.265E-09     3.776E-08 
    0.000E+00     0.000E+00     0.000E+00    -2.761E-08    -2.805E-11     1.409E-08     3.100E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.643E-08    -1.749E-10     1.509E-08     2.231E-08 
    0.000E+00     2.500E-01    -2.500E-01    -3.334E-08     1.086E-08     4.674E-09     3.538E-08 
    0.000E+00     2.500E-01     0.000E+00    -2.460E-08     8.376E-09     1.259E-08     2.888E-08 
    0.000E+00     2.500E-01     2.500E-01    -1.479E-08     5.956E-09     1.379E-08     2.108E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -6.317E-08    -2.587E-08     1.745E-08     7.046E-08 
    2.500E-01    -2.500E-01     0.000E+00    -3.892E-08    -1.757E-08     2.866E-08     5.143E-08 
    2.500E-01    -2.500E-01     2.500E-01    -1.812E-08    -9.860E-09     2.574E-08     3.299E-08 
    2.500E-01     0.000E+00    -2.500E-01    -7.593E-08     1.841E-10     1.897E-08     7.826E-08 
    2.500E-01     0.000E+00     0.000E+00    -4.542E-08     2.852E-11     3.363E-08     5.652E-08 
    2.500E-01     0.000E+00     2.500E-01    -2.010E-08     1.670E-10     2.826E-08     3.468E-08 
    2.500E-01     2.500E-01    -2.500E-01    -6.314E-08     2.496E-08     1.686E-08     6.996E-08 
    2.500E-01     2.500E-01     0.000E+00    -3.886E-08     1.738E-08     2.850E-08     5.123E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.800E-08     9.960E-09     2.535E-08     3.265E-08 
