        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -3.341E-09    -7.142E-09    -1.055E-08     1.317E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -5.822E-09    -1.349E-08    -1.446E-08     2.061E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -9.758E-09    -2.516E-08    -1.773E-08     3.229E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -4.321E-09    -5.288E-09    -1.491E-08     1.640E-08 
   -2.500E-01     0.000E+00     0.000E+00    -8.495E-09    -1.177E-08    -2.416E-08     2.818E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.676E-08    -2.852E-08    -3.798E-08     5.037E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -5.256E-09    -8.899E-10    -1.840E-08     1.916E-08 
   -2.500E-01     2.500E-01     0.000E+00    -1.059E-08    -4.418E-09    -3.261E-08     3.457E-08 
   -2.500E-01     2.500E-01     2.500E-01    -2.466E-08    -1.534E-08    -6.076E-08     6.734E-08 
    0.000E+00    -2.500E-01    -2.500E-01     4.637E-11    -7.581E-09    -1.143E-08     1.372E-08 
    0.000E+00    -2.500E-01     0.000E+00    -1.705E-11    -1.481E-08    -1.614E-08     2.191E-08 
    0.000E+00    -2.500E-01     2.500E-01     4.002E-10    -2.810E-08    -2.003E-08     3.451E-08 
    0.000E+00     0.000E+00    -2.500E-01    -1.356E-10    -5.844E-09    -1.668E-08     1.767E-08 
    0.000E+00     0.000E+00     0.000E+00     1.434E-10    -1.353E-08    -2.739E-08     3.055E-08 
    0.000E+00     0.000E+00     2.500E-01     5.284E-10    -3.218E-08    -4.449E-08     5.491E-08 
    0.000E+00     2.500E-01    -2.500E-01     3.449E-11    -9.867E-10    -2.016E-08     2.018E-08 
    0.000E+00     2.500E-01     0.000E+00    -3.868E-11    -4.789E-09    -3.743E-08     3.773E-08 
    0.000E+00     2.500E-01     2.500E-01     1.148E-09    -1.920E-08    -7.447E-08     7.691E-08 
    2.500E-01    -2.500E-01    -2.500E-01     3.393E-09    -6.917E-09    -1.048E-08     1.301E-08 
    2.500E-01    -2.500E-01     0.000E+00     5.721E-09    -1.350E-08    -1.443E-08     2.057E-08 
    2.500E-01    -2.500E-01     2.500E-01     9.736E-09    -2.479E-08    -1.732E-08     3.177E-08 
    2.500E-01     0.000E+00    -2.500E-01     4.423E-09    -5.370E-09    -1.505E-08     1.658E-08 
    2.500E-01     0.000E+00     0.000E+00     8.603E-09    -1.172E-08    -2.389E-08     2.797E-08 
    2.500E-01     0.000E+00     2.500E-01     1.680E-08    -2.817E-08    -3.741E-08     4.976E-08 
    2.500E-01     2.500E-01    -2.500E-01     5.135E-09    -7.728E-10    -1.814E-08     1.887E-08 
    2.500E-01     2.500E-01     0.000E+00     1.037E-08    -4.689E-09    -3.248E-08     3.441E-08 
    2.500E-01     2.500E-01     2.500E-01     2.473E-08    -1.668E-08    -6.219E-08     6.897E-08 
