        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     1.530E-08    -2.626E-09    -1.100E-08     1.902E-08 
   -2.500E-01    -2.500E-01     0.000E+00     7.938E-09    -8.297E-10    -8.717E-09     1.182E-08 
   -2.500E-01    -2.500E-01     2.500E-01     4.068E-09    -8.511E-11    -6.116E-09     7.346E-09 
   -2.500E-01     0.000E+00    -2.500E-01     1.146E-08    -6.725E-09    -7.389E-09     1.520E-08 
   -2.500E-01     0.000E+00     0.000E+00     6.343E-09    -3.498E-09    -6.802E-09     9.937E-09 
   -2.500E-01     0.000E+00     2.500E-01     3.516E-09    -1.812E-09    -5.139E-09     6.485E-09 
   -2.500E-01     2.500E-01    -2.500E-01     7.186E-09    -7.054E-09    -4.065E-09     1.086E-08 
   -2.500E-01     2.500E-01     0.000E+00     4.433E-09    -4.457E-09    -4.417E-09     7.683E-09 
   -2.500E-01     2.500E-01     2.500E-01     2.639E-09    -2.641E-09    -3.753E-09     5.294E-09 
    0.000E+00    -2.500E-01    -2.500E-01     1.776E-08    -6.265E-09    -2.379E-08     3.034E-08 
    0.000E+00    -2.500E-01     0.000E+00     7.536E-09    -1.962E-09    -1.480E-08     1.672E-08 
    0.000E+00    -2.500E-01     2.500E-01     3.083E-09    -3.567E-10    -8.864E-09     9.391E-09 
    0.000E+00     0.000E+00    -2.500E-01     1.222E-08    -1.206E-08    -1.549E-08     2.312E-08 
    0.000E+00     0.000E+00     0.000E+00     5.621E-09    -5.574E-09    -1.094E-08     1.350E-08 
    0.000E+00     0.000E+00     2.500E-01     2.564E-09    -2.545E-09    -7.345E-09     8.186E-09 
    0.000E+00     2.500E-01    -2.500E-01     6.654E-09    -1.139E-08    -7.421E-09     1.513E-08 
    0.000E+00     2.500E-01     0.000E+00     3.607E-09    -6.454E-09    -6.885E-09     1.010E-08 
    0.000E+00     2.500E-01     2.500E-01     1.772E-09    -3.501E-09    -5.139E-09     6.466E-09 
    2.500E-01    -2.500E-01    -2.500E-01     1.064E-08    -1.078E-08    -3.953E-08     4.233E-08 
    2.500E-01    -2.500E-01     0.000E+00     2.810E-09    -3.039E-09    -2.055E-08     2.097E-08 
    2.500E-01    -2.500E-01     2.500E-01     6.203E-10    -6.596E-10    -1.075E-08     1.079E-08 
    2.500E-01     0.000E+00    -2.500E-01     6.315E-09    -1.794E-08    -2.430E-08     3.086E-08 
    2.500E-01     0.000E+00     0.000E+00     1.653E-09    -7.466E-09    -1.473E-08     1.659E-08 
    2.500E-01     0.000E+00     2.500E-01     4.005E-10    -3.128E-09    -8.719E-09     9.271E-09 
    2.500E-01     2.500E-01    -2.500E-01     2.661E-09    -1.533E-08    -1.086E-08     1.898E-08 
    2.500E-01     2.500E-01     0.000E+00     9.243E-10    -8.013E-09    -8.626E-09     1.181E-08 
    2.500E-01     2.500E-01     2.500E-01     8.005E-11    -4.038E-09    -6.037E-09     7.263E-09 
