        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -3.276E-08    -9.346E-09    -9.221E-09     3.529E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -3.560E-08    -1.027E-08     1.352E-11     3.705E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -3.254E-08    -9.357E-09     9.397E-09     3.514E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -3.586E-08     2.126E-11    -1.035E-08     3.732E-08 
   -2.500E-01     0.000E+00     0.000E+00    -3.911E-08    -1.179E-10    -1.774E-10     3.911E-08 
   -2.500E-01     0.000E+00     2.500E-01    -3.561E-08    -7.651E-11     1.024E-08     3.705E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -3.268E-08     9.074E-09    -9.332E-09     3.517E-08 
   -2.500E-01     2.500E-01     0.000E+00    -3.576E-08     1.018E-08    -5.486E-11     3.718E-08 
   -2.500E-01     2.500E-01     2.500E-01    -3.255E-08     9.214E-09     9.206E-09     3.506E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -5.591E-08    -1.892E-08    -1.838E-08     6.182E-08 
    0.000E+00    -2.500E-01     0.000E+00    -6.229E-08    -2.041E-08    -1.505E-10     6.555E-08 
    0.000E+00    -2.500E-01     2.500E-01    -5.632E-08    -1.833E-08     1.825E-08     6.197E-08 
    0.000E+00     0.000E+00    -2.500E-01    -6.219E-08     3.844E-10    -2.078E-08     6.557E-08 
    0.000E+00     0.000E+00     0.000E+00    -7.122E-08    -1.111E-10     4.663E-10     7.123E-08 
    0.000E+00     0.000E+00     2.500E-01    -6.299E-08    -9.574E-10     2.068E-08     6.630E-08 
    0.000E+00     2.500E-01    -2.500E-01    -5.498E-08     1.855E-08    -1.845E-08     6.089E-08 
    0.000E+00     2.500E-01     0.000E+00    -6.230E-08     1.998E-08     1.397E-10     6.543E-08 
    0.000E+00     2.500E-01     2.500E-01    -5.600E-08     1.906E-08     1.904E-08     6.214E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.012E-07    -4.269E-08    -4.121E-08     1.173E-07 
    2.500E-01    -2.500E-01     0.000E+00    -1.178E-07    -4.778E-08    -8.789E-10     1.271E-07 
    2.500E-01    -2.500E-01     2.500E-01    -1.012E-07    -4.138E-08     4.084E-08     1.167E-07 
    2.500E-01     0.000E+00    -2.500E-01    -1.175E-07    -3.617E-10    -4.791E-08     1.269E-07 
    2.500E-01     0.000E+00     0.000E+00    -1.457E-07    -8.760E-10     5.974E-10     1.457E-07 
    2.500E-01     0.000E+00     2.500E-01    -1.177E-07     1.173E-09     4.648E-08     1.265E-07 
    2.500E-01     2.500E-01    -2.500E-01    -9.973E-08     3.998E-08    -4.134E-08     1.151E-07 
    2.500E-01     2.500E-01     0.000E+00    -1.190E-07     4.858E-08    -1.098E-09     1.285E-07 
    2.500E-01     2.500E-01     2.500E-01    -1.010E-07     4.084E-08     4.014E-08     1.161E-07 
