        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -1.131E-08    -4.920E-08     2.108E-08     5.471E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -1.348E-08    -5.983E-08     1.695E-10     6.133E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -1.168E-08    -4.879E-08    -2.090E-08     5.435E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -2.937E-09    -2.613E-08     8.781E-09     2.772E-08 
   -2.500E-01     0.000E+00     0.000E+00    -3.582E-09    -3.003E-08    -1.574E-11     3.024E-08 
   -2.500E-01     0.000E+00     2.500E-01    -3.125E-09    -2.588E-08    -8.653E-09     2.747E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -6.604E-10    -1.458E-08     4.186E-09     1.518E-08 
   -2.500E-01     2.500E-01     0.000E+00    -6.354E-10    -1.599E-08     7.928E-11     1.601E-08 
   -2.500E-01     2.500E-01     2.500E-01    -5.530E-10    -1.462E-08    -4.106E-09     1.520E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -2.186E-08    -3.104E-08     1.477E-08     4.074E-08 
    0.000E+00    -2.500E-01     0.000E+00    -2.632E-08    -3.754E-08     8.980E-11     4.584E-08 
    0.000E+00    -2.500E-01     2.500E-01    -2.216E-08    -3.122E-08    -1.461E-08     4.098E-08 
    0.000E+00     0.000E+00    -2.500E-01    -9.390E-09    -1.935E-08     7.031E-09     2.262E-08 
    0.000E+00     0.000E+00     0.000E+00    -1.058E-08    -2.233E-08    -1.750E-10     2.471E-08 
    0.000E+00     0.000E+00     2.500E-01    -9.599E-09    -1.952E-08    -7.101E-09     2.288E-08 
    0.000E+00     2.500E-01    -2.500E-01    -4.009E-09    -1.208E-08     3.632E-09     1.324E-08 
    0.000E+00     2.500E-01     0.000E+00    -4.483E-09    -1.332E-08     3.271E-11     1.405E-08 
    0.000E+00     2.500E-01     2.500E-01    -4.070E-09    -1.205E-08    -3.587E-09     1.322E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.972E-08    -1.439E-08     8.342E-09     2.579E-08 
    2.500E-01    -2.500E-01     0.000E+00    -2.288E-08    -1.720E-08    -2.603E-10     2.862E-08 
    2.500E-01    -2.500E-01     2.500E-01    -2.022E-08    -1.475E-08    -8.739E-09     2.651E-08 
    2.500E-01     0.000E+00    -2.500E-01    -1.063E-08    -1.180E-08     4.740E-09     1.657E-08 
    2.500E-01     0.000E+00     0.000E+00    -1.160E-08    -1.311E-08    -8.752E-12     1.750E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.059E-08    -1.181E-08    -4.818E-09     1.658E-08 
    2.500E-01     2.500E-01    -2.500E-01    -5.581E-09    -8.391E-09     2.689E-09     1.043E-08 
    2.500E-01     2.500E-01     0.000E+00    -6.056E-09    -9.205E-09    -8.142E-12     1.102E-08 
    2.500E-01     2.500E-01     2.500E-01    -5.509E-09    -8.419E-09    -2.700E-09     1.042E-08 
