        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01     9.546E-09     2.479E-08    -1.720E-08     3.165E-08 
   -2.500E-01    -2.500E-01     0.000E+00     5.857E-09     1.344E-08    -1.442E-08     2.057E-08 
   -2.500E-01    -2.500E-01     2.500E-01     3.329E-09     7.132E-09    -1.065E-08     1.325E-08 
   -2.500E-01     0.000E+00    -2.500E-01     1.656E-08     2.887E-08    -3.803E-08     5.054E-08 
   -2.500E-01     0.000E+00     0.000E+00     8.530E-09     1.205E-08    -2.412E-08     2.828E-08 
   -2.500E-01     0.000E+00     2.500E-01     4.560E-09     5.394E-09    -1.513E-08     1.670E-08 
   -2.500E-01     2.500E-01    -2.500E-01     2.458E-08     1.463E-08    -6.121E-08     6.756E-08 
   -2.500E-01     2.500E-01     0.000E+00     1.055E-08     4.471E-09    -3.294E-08     3.487E-08 
   -2.500E-01     2.500E-01     2.500E-01     5.161E-09     8.809E-10    -1.858E-08     1.930E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -7.112E-11     2.820E-08    -2.006E-08     3.461E-08 
    0.000E+00    -2.500E-01     0.000E+00    -5.448E-11     1.483E-08    -1.635E-08     2.207E-08 
    0.000E+00    -2.500E-01     2.500E-01    -1.353E-10     7.785E-09    -1.142E-08     1.382E-08 
    0.000E+00     0.000E+00    -2.500E-01    -2.009E-10     3.224E-08    -4.447E-08     5.493E-08 
    0.000E+00     0.000E+00     0.000E+00    -3.972E-11     1.370E-08    -2.729E-08     3.054E-08 
    0.000E+00     0.000E+00     2.500E-01    -2.354E-12     5.789E-09    -1.658E-08     1.756E-08 
    0.000E+00     2.500E-01    -2.500E-01    -4.943E-10     1.852E-08    -7.485E-08     7.711E-08 
    0.000E+00     2.500E-01     0.000E+00     3.180E-11     5.082E-09    -3.674E-08     3.709E-08 
    0.000E+00     2.500E-01     2.500E-01    -1.209E-10     1.089E-09    -2.021E-08     2.024E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -9.744E-09     2.513E-08    -1.751E-08     3.214E-08 
    2.500E-01    -2.500E-01     0.000E+00    -5.808E-09     1.345E-08    -1.439E-08     2.053E-08 
    2.500E-01    -2.500E-01     2.500E-01    -3.386E-09     7.071E-09    -1.047E-08     1.308E-08 
    2.500E-01     0.000E+00    -2.500E-01    -1.713E-08     2.856E-08    -3.747E-08     5.013E-08 
    2.500E-01     0.000E+00     0.000E+00    -8.540E-09     1.196E-08    -2.401E-08     2.816E-08 
    2.500E-01     0.000E+00     2.500E-01    -4.389E-09     5.319E-09    -1.526E-08     1.675E-08 
    2.500E-01     2.500E-01    -2.500E-01    -2.526E-08     1.553E-08    -6.302E-08     6.965E-08 
    2.500E-01     2.500E-01     0.000E+00    -1.077E-08     4.779E-09    -3.347E-08     3.548E-08 
    2.500E-01     2.500E-01     2.500E-01    -5.341E-09     9.016E-10    -1.851E-08     1.929E-08 
